"lang"
{
	"Language"	"Polish"
		"DOTA_Tooltip_ability_holdout_drunken_brawler_Lore"                                            "Kiedy Mangix zdobył tytuł mistrza piwa Zakonu Oyo, zajął także swoje miejsce w mistrzostwie nietrzeźwości."
		"DOTA_Tooltip_ability_holdout_drunken_brawler_Description"                                     "Daje szansę na uniknięcie ataków i zadanie obrażeń krytycznych.Pijany Zadymiarz zawsze się uruchomi, jeśli nie zaatakowałeś lub nie zostałeś zaatakowany w ciągu ostatnich kilku sekund.\n\nKumuluje się w coraz mniejszym stopniu z innymi źródłami Uników."
		"DOTA_Tooltip_ability_holdout_drunken_brawler_Note0"                                           "Gwarantowany atak krytyczny i gwarantowana szansa na unik są oddzielnymi licznikami czasu."
		"DOTA_Tooltip_ability_holdout_drunken_brawler_dodge_chance"                                    "% SZANSA NA UNIK:"
		"DOTA_Tooltip_ability_holdout_drunken_brawler_crit_chance"                                     "% SZANSA NA KRYTYK:"
		"DOTA_Tooltip_ability_holdout_drunken_brawler_crit_multiplier"                                 "% OBRAŻEŃ KRYTYCZNYCH:"
		"DOTA_Tooltip_ability_holdout_drunken_brawler_last_proc"                                       "PEWNY TIMER WYZWALANIA:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation"                                            "Trwałe spalenie"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_Description"                                "Pochłonąć płomienie, handlować  %damage_per_tick% obrażeń na sekundę wszystkim wrogom w a %radius% promień."
		"DOTA_Tooltip_ability_holdout_earthquake"                                                      "Trzęsienie ziemi"
		"DOTA_Tooltip_ability_holdout_earthquake_Description"                                          "Sprawia, że ziemia drży i pęka, zadając obrażenia na sekundę w obszarze działania i spowalniając jednostki o 50%/75%.Trwa 10 sekund."
		"DOTA_Tooltip_ability_holdout_earthquake_duration"                                             "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_earthquake_damage_per_sec"                                       "OBRAŻENIA NA SEK.:"
		"DOTA_Tooltip_ability_holdout_earthquake_radius"                                               "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_earthquake_movement_speed_slow_pct"                              "% WOLNA PRĘDKOŚĆ RUCHU:"
		"DOTA_Tooltip_ability_holdout_earthquake_wave_interval"                                        "INTERWAŁ FALI:"
		"DOTA_Tooltip_ability_nyx_assassin_impale"                                                     "Przebić"
		"DOTA_Tooltip_ability_nyx_assassin_impale_Description"                                         "Wystrzeliwuje linię kolców, które zadają obrażenia, podrzucają, ogłuszają i infekują wrogów %infested_duration% sekundy.Przełącznik prawego przycisku myszy: aktywne Żuki Carrion automatycznie traktują priorytetowo zainfekowanych wrogów.Impale jest zawsze rzucane ręcznie."
		"DOTA_Tooltip_ability_nyx_assassin_impale_Note0"                                               "Przełącznik nigdy nie rzuca automatycznie Impale;kontroluje tylko priorytet celu Carrion Beetle."
		"DOTA_Tooltip_ability_nyx_assassin_impale_impale_damage"                                       "OBRAŻENIA:"
		"DOTA_Tooltip_ability_nyx_assassin_impale_duration"                                            "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_nyx_assassin_impale_infested_duration"                                   "CZAS TRWANIA ZAKAŻENIA:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles"                                                 "Chrząszcze Carrion"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_Description"                                     "Odnawia aktywny chrząszcz padlinożerny.Zadawane przez niego obrażenia skalują się z siłą Władcy Krypty i obrażeniami od ataku.Jego ataki nakładają Plagę Carrion i zadają dodatkowe obrażenia zainfekowanym wrogom."
		"DOTA_Tooltip_ability_holdout_carrion_beetles_Note0"                                           "Użycie tej umiejętności zastępuje aktywnego Carrion Beetle bez zmiany aktualnej liczby przywołań."
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_duration"                                   "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_bat"                                        "PODSTAWOWY CZAS ATAKU:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_damage"                                     "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_hp"                                         "HP:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_strength_damage_pct"                             "% SIŁY JAKO OBRAŻENIA chrząszcza:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_hero_attack_damage_pct"                          "% DZIEDZICZONYCH OBRAŻEŃ OD ATAKU BOHATERA:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_infested_bonus_pct"                              "% OBRAŻEŃ ZARAŻONYCH WROGÓW:"
		"DOTA_Tooltip_ability_holdout_poison_sting"                                                    "Plaga Padliny"
		"DOTA_Tooltip_ability_holdout_poison_sting_Description"                                        "Lord Krypty i jego Carrion Beetle zatruwają wrogów przy ataku, kumulując się aż do %max_stacks% razy.Zatruty wróg eksploduje po śmierci, zadając obrażenia pobliskim wrogom i lecząc ul.Eksplozja nigdy nie rozprzestrzenia Plagi Padliny."
		"DOTA_Tooltip_ability_holdout_poison_sting_duration"                                           "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_poison_sting_damage"                                             "OBRAŻENIA NA SEKUNDĘ NA ŁADUNEK:"
		"DOTA_Tooltip_ability_holdout_poison_sting_bonus_movement_speed"                               "% SPOWOLNIENIA RUCHU NA ŁADUŁ:"
		"DOTA_Tooltip_ability_holdout_poison_sting_death_burst_damage"                                 "Seria śmierci na ładunek:"
		"DOTA_Tooltip_ability_holdout_poison_sting_death_burst_radius"                                 "PROMIEŃ WYBUCHU ŚMIERCI:"
		"DOTA_Tooltip_ability_holdout_poison_sting_death_heal"                                         "ULECZANIE ROJÓW NA ŁĄCZENIE:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace"                                                 "Kolczasty pancerz"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_Description"                                     "Pasywnie zapewnia zbroję i odzwierciedla procent faktycznie otrzymanych obrażeń, przy minimalnym odwecie przeciwko stworom.Aktywuj, aby zmniejszyć otrzymywane obrażenia i co jakiś czas wyzwalać obszarowy impuls impulsowy %pulse_hits% otrzymane ataki."
		"DOTA_Tooltip_ability_holdout_spiked_carapace_hero_return_percent"                             "% OBRAŻEŃ ZWRACANYCH BOHATEROM:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_creep_return_percent"                            "% OBRAŻEŃ ZWRACANYCH DO CREEPSÓW:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_bonus_armor"                                     "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_creep_return_minimum"                            "MINIMALNY POWRÓT pełzania:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_active_duration"                                 "CZAS AKTYWNY:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_active_damage_reduction"                         "%AKTYWNA REDUKCJA OBRAŻEŃ:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_pulse_damage"                                    "OBRAŻENIA IMPULSOWE:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_pulse_radius"                                    "PROMIEŃ IMPULSU:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw"                                                   "Szaleństwo Ula"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_Description"                                       "Crypt Lord i jego aktywny Carrion Beetle zyskują prędkość ataku i ruchu.Zabójstwa zatrutych wrogów przedłużają szał %kill_extension% sekundy, do %max_extension% dodatkowe sekundy."
		"DOTA_Tooltip_ability_holdout_anubarak_claw_duration"                                          "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_bonus_attack_speed"                                "DODATKOWA PRĘDKOŚĆ ATAKU:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_kill_extension"                                    "ZABIJ ROZSZERZENIE:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_max_extension"                                     "MAKSYMALNE WYDŁUŻENIE:"
		"DOTA_Tooltip_ability_holdout_locust_swarm"                                                    "Rój Szarańczy"
		"DOTA_Tooltip_ability_holdout_locust_swarm_Description"                                        "Uwalnia rój, który priorytetowo traktuje zainfekowanych wrogów, zadaje im dodatkowe obrażenia, odświeża Plagę i natychmiast leczy Władcę Krypty o część zadanych obrażeń.Rój zwraca również zgromadzone leczenie, gdy się zakończy."
		"DOTA_Tooltip_ability_holdout_locust_swarm_Lore"                                               "Z biegiem czasu pozostałości banshee z jej poprzednich wcieleń powracają, by nawiedzać teraźniejszość."
		"DOTA_Tooltip_ability_holdout_locust_swarm_Note0"                                              "Promień reprezentuje obszar, w którym duchy będą zdobywać cele wokół Crypt Lord."
		"DOTA_Tooltip_ability_holdout_locust_swarm_Note1"                                              "Obrażenia nietoperzy nie są zmniejszane przez zdolności blokujące obrażenia."
		"DOTA_Tooltip_ability_holdout_locust_swarm_radius"                                             "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_spirits"                                            "NIETALETY:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_heal_percent"                                       "WYSYŁANIE ŻYCIA:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_average_damage"                                     "OBRAŻENIA NIETOPERZY:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_infested_bonus_pct"                                 "% OBRAŻEŃ ZARAŻONYCH:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_instant_heal_pct"                                   "%NATYCHMIASTOWE UZDROWIENIE:"
		"DOTA_Tooltip_ability_holdout_burrow_impale"                                                   "Zakop się w palu"
		"DOTA_Tooltip_ability_holdout_burrow_impale_Description"                                       "Crypt Lord zakopuje się i przebija wszystkie wrogie jednostki w okolicy."
		"DOTA_Tooltip_ability_holdout_burrow_impale_damage"                                            "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_radius"                                            "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_tick_time"                                         "CZAS MIĘDZY PRZEBIJAMI:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_duration"                                          "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_total_impales_tooltip"                             "CAŁKOWITA PRZEBIJANIA:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_total_damage_tooltip"                              "CAŁKOWITE USZKODZENIA:"
		"DOTA_Tooltip_ability_holdout_entrench"                                                        "Okop"
		"DOTA_Tooltip_ability_holdout_entrench_Description"                                            "Pozwala pustynnemu żmijowi zakopać się pod ziemią, aby uniknąć wszelkich źródeł obrażeń.Zadaje obrażenia i ogłusza po uwolnieniu."
		"DOTA_Tooltip_ability_holdout_entrench_Note0"                                                  "Pustynny Żmij jest niezniszczalny, gdy jest zakopany."
		"DOTA_Tooltip_ability_holdout_entrench_Note1"                                                  "Pustynny Wyrm Unentrench po %max_duration% automatycznie."
		"DOTA_Tooltip_ability_holdout_entrench_disappear_time"                                         "CZAS NORY:"
		"DOTA_Tooltip_ability_holdout_entrench_radius"                                                 "PROMIeń (ODKOPOWANIE):"
		"DOTA_Tooltip_ability_holdout_entrench_damage_out"                                             "OBRAŻENIA (NIEOKOŃCZENIE):"
		"DOTA_Tooltip_ability_holdout_entrench_stun_duration"                                          "CZAS TRWANIA Ogłuszenia (NIEOKOŃCZENIA):"
		"DOTA_Tooltip_ability_holdout_entrench_max_duration"                                           "MAKSYMALNY CZAS NORY:"
		"DOTA_Tooltip_ability_holdout_unentrench"                                                      "Nieokopuj się"
		"DOTA_Tooltip_ability_holdout_unentrench_Description"                                          "Uwolnij Pustynnego Żmija, który zadaje ogromne obrażenia i ogłusza wrogów w okolicy."
		"DOTA_Tooltip_ability_holdout_unentrench_Note0"                                                "Pustynny Wyrm Unentrench po %max_duration% automatycznie."
		"DOTA_Tooltip_ability_holdout_unentrench_disappear_time"                                       "CZAS NORY:"
		"DOTA_Tooltip_ability_holdout_unentrench_radius"                                               "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_unentrench_damage_out"                                           "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_unentrench_stun_duration"                                        "CZAS Ogłuszenia:"
		"DOTA_Tooltip_modifier_burrowing"                                                              "Kopanie"
		"DOTA_Tooltip_modifier_burrowing_Description"                                                  "Kopanie złota!"
		"DOTA_Tooltip_modifier_burrowed"                                                               "Zakopany"
		"DOTA_Tooltip_modifier_burrowed_Description"                                                   "Pustynny Żmij jest niezniszczalny, gdy jest zakopany."
		"DOTA_Tooltip_ability_holdout_tornado_tempest"                                                 "Burza tornada"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_Description"                                     "Wysyła Tornado wyrzucające wrogów w powietrze, zadając im obrażenia przy lądowaniu."
		"DOTA_Tooltip_ability_holdout_tornado_tempest_travel_distance"                                 "ODLEGŁOŚĆ TORNADA:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_travel_speed"                                    "PRĘDKOŚĆ TORNADA:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_area_of_effect"                                  "Obszar działania:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_lift_duration"                                   "CZAS TRWANIA WINDY:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_base_damage"                                     "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_acid_skin"                                                       "Skóra kwasowa"
		"DOTA_Tooltip_ability_holdout_acid_skin_duration"                                              "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_acid_skin_bonus_movement_speed"                                  "% REDUKCJA PRĘDKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_holdout_acid_skin_bonus_attack_speed"                                    "REDUKCJA PRĘDKOŚCI ATAKU:"
		"DOTA_Tooltip_ability_holdout_acid_skin_bonus_magic_resistance"                                "%DODATKOWA ODPORNOŚĆ NA MAGIĘ:"
		"DOTA_Tooltip_ability_holdout_acid_skin_damage"                                                "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form"                                              "Forma Pustynnego Smoka"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_Description"                                  "Przekształć Pustynnego Żmija w Arktycznego Smoka, zapewniając ataki rozszczepiające i nowe umiejętności."
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_bonus_range"                                  "DODATKOWY ZASIĘG ATAKU:"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_duration"                                     "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_splash_radius"                                "ROZCIĄGNIJ PROMIeń"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_splash_damage_percent"                        "% ROZCIĄGNIJ"
		"DOTA_Tooltip_modifier_dragon_form"                                                            "Forma Smoka"
		"DOTA_Tooltip_ability_holdout_arctic_flyout"                                                   "Wylot Arktyki"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Description"                                       "Pustynny Żmij szybuje na arktycznym wietrze, zapewniając jej niezakłócony ruch i pozwalając jej wydychać piekący chłód przy każdym ataku.Podczas lotu jej ataki przemieszczają się dalej i szybciej oraz spowalniają wrogów magicznym zamrożeniem, które ich pozbawia %percent_damage%%% ich obecnego zdrowia co sekundę.Jej wzrok jest również odporny na nocny chłód, co jej odpowiada %night_vision_bonus% dodatkowy zasięg widzenia w nocy podczas szybowania."
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Lore"                                              "Ten sam organ, w którym niektóre smoki podsycają swój wewnętrzny płomień, jest w Aurot tyglem niewyobrażalnego zimna.Z głębi jej mroźnego przełyku wydech wprawia wrogów w palącą agonię."
		"DOTA_Tooltip_ability_holdout_arctic_flyout_duration"                                          "CZAS LOTU:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_attack_range_bonus"                                "DODATKOWY ZASIĘG ATAKU:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_percent_damage"                                    "OPARZENIE ZDROWIA:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_move_slow"                                         "%WOLNY RUCH:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_damage_duration"                                   "CZAS PALENIA:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_night_vision_bonus"                                "DODATKOWY ZASIĘG WIDZENIA W NOCY:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Note0"                                             "Wrogie jednostki mogą otrzymać debuff Arctic Burn tylko raz na rzucenie."
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Note1"                                             "Ta umiejętność nie ma wpływu Roshan."
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Note2"                                             "Zmniejsza punkt ataku Zimowej Wiwerny do 0,1."
		"DOTA_Tooltip_ability_holdout_arctic_breath"                                                   "Arktyczny oddech"
		"DOTA_Tooltip_ability_holdout_arctic_breath_Description"                                       "Uwolnij mroźnego smoka, wysyłając falę ognia, która spala każdego wroga na swojej drodze."
		"DOTA_Tooltip_ability_holdout_arctic_breath_Lore"                                              "Na spalonej jałowości Misrule mistrz nauczył się manipulować ognistym oddechem Pustynnego Żmija w ramach rozrywki."
		"DOTA_Tooltip_ability_holdout_arctic_breath_Note0"                                             "Arctic Breath może razić jednostki znajdujące się w odległości do 1225 jednostek."
		"DOTA_Tooltip_ability_holdout_arctic_breath_damage"                                            "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_arctic_breath_distance"                                          "ODLEGŁOŚĆ:"
		"DOTA_Tooltip_ability_holdout_arctic_breath_start_width"                                       "SZEROKOŚĆ POCZĄTKOWA:"
		"DOTA_Tooltip_ability_holdout_arctic_breath_end_width"                                         "SZEROKOŚĆ KOŃCA:"
		"DOTA_Tooltip_ability_holdout_arctic_skin"                                                     "Skórka Arktyki"
		"DOTA_Tooltip_ability_holdout_arctic_skin_Description"                                         "Daje szansę na zamrożenie atakujących.Wrogowie atakujący Pustynnego Żmija mają szansę zostać ogłuszeni."
		"DOTA_Tooltip_ability_holdout_arctic_skin_Lore"                                                "Wijący się w szwach samej rzeczywistości, Arktyczny Smok manifestuje nienawiść paraliżując tych, którzy przeciwstawiają się jego woli."
		"DOTA_Tooltip_ability_holdout_arctic_skin_radius"                                              "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_arctic_skin_ensnare_duration"                                    "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_holdout_arctic_skin_ensnare_damage"                                      "OBRAŻENIA Ogłuszenia:"
		"DOTA_Tooltip_ability_holdout_arctic_skin_ensnare_chance"                                      "%SZANSA NA Ogłuszenie:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt"                                                 "Boska Aura"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_Description"                                     "Zwiększa prędkość ruchu, współczynnik ataku, pancerz i regenerację życia pobliskich przyjaznych jednostek."
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_Note0"                                           "Kumulacje TYLKO z Aurą Wytrzymałości!"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bat_reduction"                                   "REDUKCJA NIETOPERZY:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_movement_speed_percentage"                 "% PRĘDKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_armor"                                     "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_health_regen"                              "PREMIOWA REGENERACJA ZDROWIA:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_radius"                                          "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_shockwave"                                                       "Fala uderzeniowa"
		"DOTA_Tooltip_ability_holdout_shockwave_Description"                                           "Fala mocy wydobywająca się z bohatera, zadając obrażenia jednostkom w linii."
		"DOTA_Tooltip_ability_holdout_shockwave_start_radius"                                          "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_shockwave_range"                                                 "ZAKRES:"
		"DOTA_Tooltip_ability_holdout_shockwave_speed"                                                 "PRĘDKOŚĆ:"
		"DOTA_Tooltip_ability_holdout_war_stomp"                                                       "Wojenny Stok"
		"DOTA_Tooltip_ability_holdout_war_stomp_Description"                                           "Uderza w ziemię, ogłuszając i zadając obrażenia pobliskim jednostkom wroga."
		"DOTA_Tooltip_ability_holdout_war_stomp_radius"                                                "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_war_stomp_stun_duration"                                         "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_holdout_war_stomp_stomp_damage"                                          "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura"                                        "Aura wytrzymałości"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_Description"                            "Zwiększa prędkość ruchu i współczynnik ataku pobliskich przyjaznych jednostek."
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_Note0"                                  "Kumulacje TYLKO z Boską aurą!"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_bat_reduction"                          "PODSTAWOWY CZAS ATAKU:"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_endurance_bonus_movement_speed"         "% PRĘDKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_radius"                                 "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_pulverize"                                                       "Sproszkować"
		"DOTA_Tooltip_ability_holdout_pulverize_Description"                                           "Zadaj obrażenia wszystkim pobliskim jednostkom wroga w promieniu za każdym razem, gdy Wodz Taurenów rzuci aktywną umiejętność."
		"DOTA_Tooltip_ability_holdout_pulverize_aftershock_range"                                      "ZAKRES:"
		"DOTA_Tooltip_ability_holdout_pulverize_aftershock_damage"                                     "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_lightning_stroke"                                                "Uderzenie pioruna"
		"DOTA_Tooltip_ability_holdout_lightning_stroke_Description"                                    "Zadaj obrażenia wszystkim pobliskim jednostkom wroga w promieniu."
		"DOTA_Tooltip_ability_holdout_lightning_stroke_area_of_effect"                                 "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_lightning_stroke_stun_duration"                                  "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_lightning_stroke_projectile_speed"                               "PRĘDKOŚĆ:"
		"DOTA_Tooltip_ability_holdout_shockwave_20"                                                    "Fala uderzeniowa (poziom 20)"
		"DOTA_Tooltip_ability_holdout_shockwave_20_Description"                                        "Fala mocy wydobywająca się z bohatera, zadając obrażenia jednostkom w linii."
		"DOTA_Tooltip_ability_holdout_shockwave_20_start_radius"                                       "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_shockwave_20_range"                                              "ZAKRES:"
		"DOTA_Tooltip_ability_holdout_shockwave_20_speed"                                              "PRĘDKOŚĆ:"
		"DOTA_Tooltip_ability_holdout_war_stomp_20"                                                    "Wojenne Tupanie (Poziom 20)"
		"DOTA_Tooltip_ability_holdout_war_stomp_20_Description"                                        "Uderza w ziemię, ogłuszając i zadając obrażenia pobliskim jednostkom wroga."
		"DOTA_Tooltip_ability_holdout_war_stomp_20_radius"                                             "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_war_stomp_20_stun_duration"                                      "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_holdout_war_stomp_20_stomp_damage"                                       "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_roar_20"                                                         "Ryk (Poziom 20)"
		"DOTA_Tooltip_ability_holdout_roar_20_Description"                                             "Zwiększa obrażenia sojuszników o %bonus_damage_percentage%% + %bonus_damage%."
		"DOTA_Tooltip_ability_holdout_roar_20_bonus_damage_percentage"                                 "%BONUSOWE OBRAŻENIA PCT:"
		"DOTA_Tooltip_ability_holdout_roar_20_bonus_damage"                                            "DODATKOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_roar_20_bonus_armor"                                             "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_holdout_roar_20_duration"                                                "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_reincarnation"                                                   "Reinkarnacja"
		"DOTA_Tooltip_ability_holdout_reincarnation_Description"                                       "Pozwala bohaterowi wskrzesić się po zabiciu."
		"DOTA_Tooltip_ability_holdout_reincarnation_reincarnation_time"                                "CZAS TRWANIA:"
		"DOTA_Tooltip_modifier_reincarnation"                                                          "Reinkarnacja"
		"DOTA_Tooltip_modifier_reincarnation_Description"                                              "Ożywia bohatera, jeśli zostanie zabity."
		"DOTA_Tooltip_ability_holdout_carrion_swarm"                                                   "Rój Padliny"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_Description"                                       "Wysyła hordę nietoperzy, aby zadawały obrażenia wrogom."
		"DOTA_Tooltip_ability_holdout_carrion_swarm_Lore"                                              "Wiele podróży Upiornego Władcy do grobu gromadzi stado potępionych."
		"DOTA_Tooltip_ability_holdout_carrion_swarm_Note0"                                             "Może uderzać jednostki znajdujące się w odległości do 1110 jednostek."
		"DOTA_Tooltip_ability_holdout_carrion_swarm_range"                                             "ZAKRES:"
		"DOTA_Tooltip_ability_holdout_chaos"                                                           "Chaos"
		"DOTA_Tooltip_ability_holdout_chaos_Description"                                               "Przywołuje z nieba meteor, który zadaje obrażenia i ogłusza jednostki wroga na danym obszarze na 2 sekundy."
		"DOTA_Tooltip_ability_holdout_chaos_Lore"                                                      "Zejście Śmierci Taraka."
		"DOTA_Tooltip_ability_holdout_chaos_Note0"                                                     "Zadaje główne obrażenia jednostkom wroga pod meteorem co 0,5 sekundy i podpala wrogów, zadając mniejsze obrażenia w ciągu 3 sekund."
		"DOTA_Tooltip_ability_holdout_chaos_land_time"                                                 "OPÓŹNIENIE UDERZENIA:"
		"DOTA_Tooltip_ability_holdout_chaos_area_of_effect"                                            "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_chaos_travel_distance"                                           "ODLEGŁOŚĆ PODRÓŻY:"
		"DOTA_Tooltip_ability_holdout_chaos_main_damage"                                               "USZKODZENIA POCZĄTKOWE:\n"
		"DOTA_Tooltip_ability_holdout_chaos_damage_interval"                                           "POCZĄTEK OBRAŻEŃ:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_duration"                                             "CZAS PALENIA:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_dps"                                                  "OBRAŻENIA SPALENIA NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_holdout_chaos_total_damage_tooltip"                                      "CAŁKOWITE USZKODZENIA:"
		"DOTA_Tooltip_modifier_storm_bolt_datardriven"                                                 "Oszołomiony Meteorem"
		"DOTA_Tooltip_modifier_invoker_chaos_meteor_datadriven"                                        "Spalony przez meteor"
		"DOTA_Tooltip_ability_holdout_aura_of_blight"                                                  "Aura Zarazy"
		"DOTA_Tooltip_ability_holdout_aura_of_blight_Description"                                      "Daje wszystkim przyjaznym jednostkom premię do regeneracji punktów życia."
		"DOTA_Tooltip_ability_holdout_aura_of_blight_aura_radius"                                      "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_aura_of_blight_bonus_health_regen"                               "REGENERACJA ZDROWIA:"
		"DOTA_Tooltip_modifier_aura_of_blight"                                                         "Aura Zarazy"
		"DOTA_Tooltip_modifier_aura_of_blight_Description"                                             "Zapewnia pasywną regenerację zdrowia."
		"DOTA_Tooltip_ability_holdout_death_coil"                                                      "Cewka Śmierci"
		"DOTA_Tooltip_ability_holdout_death_coil_Description"                                          "Ciska spiralą śmierci w wybraną jednostkę wroga, zadając obrażenia i ogłuszając cel na 1 sekundę."
		"DOTA_Tooltip_ability_holdout_death_coil_blast_stun_duration"                                  "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_holdout_sleep"                                                           "Spać"
		"DOTA_Tooltip_ability_holdout_sleep_Description"                                               "Ogłusza wrogą jednostkę.Cel budzi się po zaatakowaniu."
		"DOTA_Tooltip_ability_holdout_sleep_nightmare_invuln_time"                                     "CZAS NIEZARADOŚCI:"
		"DOTA_Tooltip_ability_holdout_sleep_duration"                                                  "CZAS TRWANIA:"
