"lang"
{
	"Language"	"Turkish"
		"DOTA_Tooltip_ability_xhs_spirit_storm_arc_dash"                                                  "Yay Çizgisi"
		"DOTA_Tooltip_ability_xhs_spirit_storm_arc_dash_Description"                                      "Şimşek düğümlerinin telgraf hattı boyunca hızla ilerler.Her düğüm saf hasar verir ve kısa süreliğine susturur."
		"DOTA_Tooltip_ability_xhs_spirit_storm_static_orbs"                                               "Statik Küreler"
		"DOTA_Tooltip_ability_xhs_spirit_storm_static_orbs_Description"                                   "Saf hasar veren ve kısa süreliğine sersemleten statik kalıntılardan oluşan bir halkayı patlatır."
		"DOTA_Tooltip_ability_xhs_spirit_storm_chain_focus"                                               "Zincir Odağı"
		"DOTA_Tooltip_ability_xhs_spirit_storm_chain_focus_Description"                                   "Yıldırımı işaretli bir alana odaklayarak ağır saf hasar verir, vurulan kahramanları yavaşlatır ve susturur."
		"DOTA_Tooltip_ability_xhs_spirit_earth_fault_line"                                                "Fay Hattı"
		"DOTA_Tooltip_ability_xhs_spirit_earth_fault_line_Description"                                    "Telgraf hattını parçalayarak saf hasar verir ve isabet alan kahramanları kısa süreliğine sersemletir ve yavaşlatır."
		"DOTA_Tooltip_ability_xhs_spirit_earth_stone_guard"                                               "Taş Muhafız"
		"DOTA_Tooltip_ability_xhs_spirit_earth_stone_guard_Description"                                   "Saf hasar ve yavaşlatma için yakındaki zemini paramparça eder, ardından güçlü hasar azaltma kazanır."
		"DOTA_Tooltip_ability_xhs_spirit_earth_resonant_pillar"                                           "Rezonans Sütunu"
		"DOTA_Tooltip_ability_xhs_spirit_earth_resonant_pillar_Description"                               "Saf hasar veren ve çarptığı kahramanları sersemleten üç rezonans sütunu yükseltir."
		"DOTA_Tooltip_ability_xhs_spirit_fire_cinder_step"                                                "Kül Basamağı"
		"DOTA_Tooltip_ability_xhs_spirit_fire_cinder_step_Description"                                    "Saf hasar veren ve vurulan kahramanları ateşleyen bir dizi ateşli düğümden geçer."
		"DOTA_Tooltip_ability_xhs_spirit_fire_solar_flare"                                                "Güneş Patlaması"
		"DOTA_Tooltip_ability_xhs_spirit_fire_solar_flare_Description"                                    "Ağır saf hasar, sersemletici ve ateşleyici kahramanların vurulması için işaretli bir alanı patlatır."
		"DOTA_Tooltip_ability_xhs_spirit_fire_wildfire_ring"                                              "Orman Ateşi Yüzüğü"
		"DOTA_Tooltip_ability_xhs_spirit_fire_wildfire_ring_Description"                                  "Saf hasar veren ve vurulan kahramanları ateşleyen iki kontrol edilemeyen ateş düğümü halkasını patlatır."
		"DOTA_Tooltip_ability_xhs_special_wave_bash"                                                      "Derinlerin Bash'i"
		"DOTA_Tooltip_ability_xhs_special_wave_bash_Description"                                          "Her %attack_count% geçerli saldırı anlaşması %bonus_damage% için bonus fiziksel hasar ve sersemletme %duration% saniye.Zaten sersemlemiş bir birime saldırmak Bash'i tetikleyemez ve bu birimin saldırı sayacını sıfırlar."
		"DOTA_Tooltip_ability_xhs_special_wave_bash_bonus_damage"                                         "EK HASAR:"
		"DOTA_Tooltip_ability_xhs_special_wave_bash_duration"                                             "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_special_wave_bash_attack_count"                                         "BASH'E SALDIRILAR:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis"                                                  "Metamorfoz"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_Description"                                      "Telgrafla bildirilen bir patlamanın ardından, Illidan menzilli bir iblise dönüşür %duration% saniye.Patlama anlaşmaları %damage% sihirli hasar %radius% yarıçap."
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_radius"                                           "PÜSKÜRTME YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_damage"                                           "PATLAMA HASARI:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_duration"                                         "ŞEYTAN SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_bonus_damage_pct"                                 "%BONUS SALDIRI HASARI:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_bonus_attack_speed"                               "FAZLA SALDIRI HIZI:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_bonus_attack_range"                               "BONUS SALDIRI ARALIĞI:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_cleave_radius"                                    "PARÇA YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_cleave_pct"                                       "% PARÇA HASARI:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_model_scale_bonus"                                "%ŞEYTAN MODEL BOYUTU:"
		"DOTA_Tooltip_ability_xhs_illidan_metamorphosis_cast_point"                                       "ÖNCEKİ ZAMANI:"
		"DOTA_Tooltip_ability_xhs_illidan_fel_beam"                                                       "Fel Kiriş"
		"DOTA_Tooltip_ability_xhs_illidan_fel_beam_Description"                                           "Fel enerjisini telgraflı bir hat üzerinden ateşler, %damage% Vurulan her düşmana saf hasar."
		"DOTA_Tooltip_ability_xhs_illidan_fel_beam_length"                                                "KİRİŞ UZUNLUĞU:"
		"DOTA_Tooltip_ability_xhs_illidan_fel_beam_width"                                                 "KİRİŞ GENİŞLİĞİ:"
		"DOTA_Tooltip_ability_xhs_illidan_fel_beam_damage"                                                "HASAR:"
		"DOTA_Tooltip_ability_xhs_illidan_fel_beam_cast_point"                                            "ÖNCEKİ ZAMANI:"
		"DOTA_Tooltip_ability_xhs_illidan_shadow_dash"                                                    "Gölge Saldırısı"
		"DOTA_Tooltip_ability_xhs_illidan_shadow_dash_Description"                                        "Telgraf hattı boyunca kısa çizgilerle, uğraşarak %damage% Yoluna çıkan düşmanlara saf hasar verir."
		"DOTA_Tooltip_ability_xhs_illidan_shadow_dash_target_radius"                                      "HEDEF UYARI YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_illidan_shadow_dash_width"                                              "ÇİZGİ GENİŞLİĞİ:"
		"DOTA_Tooltip_ability_xhs_illidan_shadow_dash_max_distance"                                       "MAKS ATIŞ MESAFESİ:"
		"DOTA_Tooltip_ability_xhs_illidan_shadow_dash_damage"                                             "HASAR:"
		"DOTA_Tooltip_ability_xhs_illidan_shadow_dash_cast_point"                                         "ÖNCEKİ ZAMANI:"
		"DOTA_Tooltip_ability_xhs_illidan_immolation_burst"                                               "Kurban Patlaması"
		"DOTA_Tooltip_ability_xhs_illidan_immolation_burst_Description"                                   "Serbest bırakır %pulse_count% hızlı Süpernova etrafta atıyor Illidan.Her görünür darbe %damage_per_pulse% saf hasar."
		"DOTA_Tooltip_ability_xhs_illidan_immolation_burst_radius"                                        "DARBE YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_illidan_immolation_burst_pulse_count"                                   "bakliyat:"
		"DOTA_Tooltip_ability_xhs_illidan_immolation_burst_pulse_interval"                                "DARBE ARALIĞI:"
		"DOTA_Tooltip_ability_xhs_illidan_immolation_burst_damage_per_pulse"                              "DARBE BAŞINA HASAR:"
		"DOTA_Tooltip_ability_xhs_illidan_immolation_burst_cast_point"                                    "ÖNCEKİ ZAMANI:"
		"DOTA_Tooltip_ability_xhs_illidan_glaive_storm"                                                   "Glaive Fırtınası"
		"DOTA_Tooltip_ability_xhs_illidan_glaive_storm_Description"                                       "Bombard'lar kahraman pozisyonlarını tahmin etti %point_count% gecikmiş glaive etkileri.Her etki işe yarar %damage% saf hasar."
		"DOTA_Tooltip_ability_xhs_illidan_glaive_storm_point_count"                                       "ETKİLER:"
		"DOTA_Tooltip_ability_xhs_illidan_glaive_storm_point_delay"                                       "ETKİLER ARASINDAKİ GECİKME:"
		"DOTA_Tooltip_ability_xhs_illidan_glaive_storm_radius"                                            "ETKİ YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_illidan_glaive_storm_damage"                                            "HASAR:"
		"DOTA_Tooltip_ability_xhs_illidan_glaive_storm_cast_point"                                        "ÖNCEKİ ZAMANI:"
		"DOTA_Tooltip_ability_xhs_illidan_demon_hunter"                                                   "Şeytan Avcısı"
		"DOTA_Tooltip_ability_xhs_illidan_demon_hunter_Description"                                       "Pasif. Illidan var %evasion%%% kaçınma."
		"DOTA_Tooltip_ability_xhs_illidan_demon_hunter_evasion"                                           "% KAÇINMA:"
		"DOTA_Tooltip_ability_xhs_balanar_nightfall"                                                      "Akşam vakti"
		"DOTA_Tooltip_ability_xhs_balanar_nightfall_Description"                                          "Arenayı karanlığa sürüklüyor, anlaşmalar %damage% etrafta büyülü hasar Balanar, düşmanın görüşünü azaltır ve saldırılarını güçlendirir. %duration% saniye."
		"DOTA_Tooltip_ability_xhs_balanar_nightfall_radius"                                               "HASAR YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_balanar_nightfall_damage"                                               "HASAR:"
		"DOTA_Tooltip_ability_xhs_balanar_nightfall_duration"                                             "KARANLIK SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_balanar_nightfall_vision_reduction"                                     "GÖRÜŞ AZALTMA:"
		"DOTA_Tooltip_ability_xhs_balanar_nightfall_bonus_damage_pct"                                     "%BONUS SALDIRI HASARI:"
		"DOTA_Tooltip_ability_xhs_balanar_nightfall_bonus_attack_speed"                                   "FAZLA SALDIRI HIZI:"
		"DOTA_Tooltip_ability_xhs_balanar_dread_howl"                                                     "Dehşet Uluması"
		"DOTA_Tooltip_ability_xhs_balanar_dread_howl_Description"                                         "Yakındaki düşmanlara hasar verir ve onların hareket hızlarını ve verdikleri hasarı zayıflatır."
		"DOTA_Tooltip_ability_xhs_balanar_dread_howl_radius"                                              "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_balanar_dread_howl_damage"                                              "HASAR:"
		"DOTA_Tooltip_ability_xhs_balanar_dread_howl_slow_duration"                                       "DEBFF SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_balanar_dread_howl_slow_pct"                                            "%YAVAŞ HAREKET:"
		"DOTA_Tooltip_ability_xhs_balanar_dread_howl_damage_reduction_pct"                                "% HASAR AZALTILMASI:"
		"DOTA_Tooltip_ability_xhs_balanar_sleeping_terror"                                                "Uyuyan Terör"
		"DOTA_Tooltip_ability_xhs_balanar_sleeping_terror_Description"                                    "Bir kahramanın konumunu işaretler, ardından uyarılan bölgedeki düşmanlara hasar verir ve yavaşlayan bir kabus içinde onları tuzağa düşürür."
		"DOTA_Tooltip_ability_xhs_balanar_sleeping_terror_radius"                                         "ETKİ YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_balanar_sleeping_terror_damage"                                         "HASAR:"
		"DOTA_Tooltip_ability_xhs_balanar_sleeping_terror_nightmare_duration"                             "KABUS SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_balanar_sleeping_terror_nightmare_slow_pct"                             "%KABUS YAVAŞLATMA:"
		"DOTA_Tooltip_ability_xhs_balanar_carrion_swarm"                                                  "Leş Sürüsü"
		"DOTA_Tooltip_ability_xhs_balanar_carrion_swarm_Description"                                      "Arena boyunca geniş bir sürü başlatır ve %damage% Yoluna çıkan düşmanlara saf hasar verir."
		"DOTA_Tooltip_ability_xhs_balanar_carrion_swarm_length"                                           "SÜRÜ UZUNLUĞU:"
		"DOTA_Tooltip_ability_xhs_balanar_carrion_swarm_width"                                            "SÜRÜ GENİŞLİĞİ:"
		"DOTA_Tooltip_ability_xhs_balanar_carrion_swarm_projectile_speed"                                 "MERMI HIZI:"
		"DOTA_Tooltip_ability_xhs_balanar_carrion_swarm_damage"                                           "HASAR:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos"                                                  "Kaos Yağmuru"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_Description"                                      "Telgrafla gönderilen bir meteor fırtınasını durdurur.Her darbe saf hasar verir, sersemletir ve geçici bir cehennemi çağırır."
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_damage_per_unit"                                  "DARBE BAŞINA HASAR:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_radius"                                           "HEDEFLEME YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_radius_explosion"                                 "ETKİ YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_stun_duration"                                    "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_duration"                                         "METEOR FIRTINA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_golem_duration"                                   "Cehennem Süresi:"
		"DOTA_Tooltip_ability_xhs_balanar_vampiric_presence"                                              "Vampir Varlığı"
		"DOTA_Tooltip_ability_xhs_balanar_vampiric_presence_Description"                                  "Pasif. Balanar için iyileşir %lifesteal_pct%Verdiği saldırı hasarının %%'si."
		"DOTA_Tooltip_ability_xhs_balanar_vampiric_presence_lifesteal_pct"                                "SALDIRI CAN ÇALMA %'Sİ:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron"                                           "Lordaeron'un Yargısı"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_Description"                               "Arenanın etrafında yeşil işaretler beliriyor.Işığı kesmek ve almak için içlerinde durun %intercept_damage% hasar.Kaçırılan her işaret bir yargı ışını ekler ve %missed_beacon_bonus_damage% kaçınılmaz son darbeye zarar verir.Kırmızı alanlar öldürücüdür."
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_beacon_ring_radius"                        "BEACON HALKASI YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_soak_radius"                               "KESME YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_max_beacons"                               "MAX İŞARETLERİ:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_intercept_damage"                          "KESME HASARI:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_final_pulse_damage"                        "BAZ DARBE HASARI:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_missed_beacon_bonus_damage"                "KAÇIRILAN İŞARET BAŞINA HASAR:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_final_pulse_radius"                        "DARBE YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_final_damage"                              "NİHAİ HASAR:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_final_width"                               "NİHAİ KİRİŞ GENİŞLİĞİ:"
		"DOTA_Tooltip_ability_xhs_arthas_judgment_of_lordaeron_final_range"                               "NİHAİ IŞIN ARALIĞI:"
		"DOTA_Tooltip_ability_xhs_arthas_frostmourne_mark"                                                "Frostmourne İşareti"
		"DOTA_Tooltip_ability_xhs_arthas_frostmourne_mark_Description"                                    "Uyarılan alandaki düşmanları işaretler. Arthas'in diğer saldırıları işaretli hedeflere daha fazla hasar verir."
		"DOTA_Tooltip_ability_xhs_arthas_frostmourne_mark_radius"                                         "İŞARET YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_arthas_frostmourne_mark_duration"                                       "İŞARETLEME SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_arthas_frozen_chains"                                                   "Dondurulmuş Zincirler"
		"DOTA_Tooltip_ability_xhs_arthas_frozen_chains_Description"                                       "Kahramanın konumundaki buzları patlatarak büyülü hasar verir ve düşmanları yere sabitler.İşaretli hedefler ilave hasar alır."
		"DOTA_Tooltip_ability_xhs_arthas_frozen_chains_radius"                                            "ETKİ YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_arthas_frozen_chains_damage"                                            "HASAR:"
		"DOTA_Tooltip_ability_xhs_arthas_frozen_chains_root_duration"                                     "KÖK SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_arthas_frozen_chains_marked_bonus_pct"                                  "%İŞARELİ İLAVE HASAR:"
		"DOTA_Tooltip_ability_xhs_arthas_death_advance"                                                   "Ölümün İlerlemesi"
		"DOTA_Tooltip_ability_xhs_arthas_death_advance_Description"                                       "Telgraf hattı üzerinden hücum ederek saf hasar verir.İşaretli hedefler ilave hasar alır."
		"DOTA_Tooltip_ability_xhs_arthas_death_advance_range"                                             "ŞARJ ARALIĞI:"
		"DOTA_Tooltip_ability_xhs_arthas_death_advance_width"                                             "ŞARJ GENİŞLİĞİ:"
		"DOTA_Tooltip_ability_xhs_arthas_death_advance_damage"                                            "HASAR:"
		"DOTA_Tooltip_ability_xhs_arthas_death_advance_marked_bonus_pct"                                  "%İŞARELİ İLAVE HASAR:"
		"DOTA_Tooltip_ability_xhs_arthas_frostmourne_execute"                                             "Frostmourne'un Yürütülmesi"
		"DOTA_Tooltip_ability_xhs_arthas_frostmourne_execute_Description"                                 "Muazzam saf hasar için geniş bir uyarılmış alana saldırır.İşaretli hedefler ilave hasar alır."
		"DOTA_Tooltip_ability_xhs_arthas_frostmourne_execute_radius"                                      "YÜRÜTME YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_arthas_frostmourne_execute_damage"                                      "HASAR:"
		"DOTA_Tooltip_ability_xhs_arthas_frostmourne_execute_marked_bonus_pct"                            "%İŞARELİ İLAVE HASAR:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command"                                            "Amiral Komutanlığı"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_Description"                                "Bir komut patlaması başlatır, bir savunma komuta güçlendirmesi kazanır ve arenaya topçu saldırıları düzenler."
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line"                                                "Torrent Hattı"
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line_Description"                                    "Düşmanlara hasar veren ve onları yavaşlatan telgraflı bir sel hattı oluşturur."
		"DOTA_Tooltip_ability_xhs_proudmoore_broadside"                                                   "Geniş kenar"
		"DOTA_Tooltip_ability_xhs_proudmoore_broadside_Description"                                       "Deniz topçularıyla birkaç uyarı mevzisini bombalıyor."
		"DOTA_Tooltip_ability_xhs_proudmoore_anchor_smash"                                                "Çapa Parçalaması"
		"DOTA_Tooltip_ability_xhs_proudmoore_anchor_smash_Description"                                    "Çevresindeki uyarılan bir alanda zemini parçalar ProudmooreSaf hasar verir ve hareketi ve saldırı hızını yavaşlatır."
		"DOTA_Tooltip_ability_xhs_proudmoore_focus_fire"                                                  "Ateşe Odaklan"
		"DOTA_Tooltip_ability_xhs_proudmoore_focus_fire_Description"                                      "Bir kahramana telgraf hattı üzerinden odaklanmış bir atış yapar."
		"DOTA_Tooltip_ability_xhs_proudmoore_command_aura"                                                "Komut Aurası"
		"DOTA_Tooltip_ability_xhs_proudmoore_command_aura_Description"                                    "Pasif.Güçlendirir Proudmoore'nin savaş varlığı."
		"DOTA_Tooltip_ability_xhs_grom_blade_storm"                                                       "Kılıç fırtınası"
		"DOTA_Tooltip_ability_xhs_grom_blade_storm_Description"                                           "Şiddetli bir şekilde dönerek yakındaki düşmanlara sürekli hasar verir."
		"DOTA_Tooltip_ability_xhs_grom_blood_frenzy"                                                      "Kan Çılgınlığı"
		"DOTA_Tooltip_ability_xhs_grom_blood_frenzy_Description"                                          "Pasif.Savaş yoğunlaştıkça Grom daha da tehlikeli hale gelir."
		"DOTA_Tooltip_ability_xhs_grom_mirror_cleave"                                                     "Ayna Kırma"
		"DOTA_Tooltip_ability_xhs_grom_mirror_cleave_Description"                                         "Ayna görüntülerinin yardımıyla telgrafla gönderilen bir yarıktan saldırır."
		"DOTA_Tooltip_ability_xhs_grom_mirror_trial"                                                      "Ayna Denemesi"
		"DOTA_Tooltip_ability_xhs_grom_mirror_trial_Description"                                          "Grom, her sağlık eşiğinde %clone_count% kadar ayna görüntüleri %trial_duration% saniye.Duruşmayı bitirmek için gerçek Grom'a saldır.Yanlış bir imajın ortaya çıkması bir tetiklemeyi tetikler %fake_punish_radius%-etkili yarıçaplı ceza %fake_punish_damage% saf hasar."
		"DOTA_Tooltip_ability_xhs_grom_mirror_trial_clone_count"                                          "AYNA GÖRÜNTÜLERİ:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_trial_trial_duration"                                       "DENEME SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_trial_split_delay"                                          "BÖLÜM GECİKMESİ:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_trial_spawn_radius"                                         "DOĞMA YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_trial_fake_punish_radius"                                   "YANLIŞ GÖRÜNTÜ CEZA YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_trial_fake_punish_damage"                                   "YANLIŞ GÖRÜNTÜ HASARI:"
		"DOTA_Tooltip_ability_xhs_grom_warsong_leap"                                                      "Savaş Şarkısı Sıçrayışı"
		"DOTA_Tooltip_ability_xhs_grom_warsong_leap_Description"                                          "Uyarılan bir konuma sıçrar ve yere indiğinde düşmanlara hasar verir."
		"DOTA_Tooltip_ability_xhs_grom_windwalk_ambush"                                                   "Rüzgar Yürüyüşü Pusu"
		"DOTA_Tooltip_ability_xhs_grom_windwalk_ambush_Description"                                       "Güçlendirilmiş bir saldırıyla bir kahramanı ortadan kaldırır, yeniden konumlandırır ve pusuya düşürür."
		"DOTA_Tooltip_ability_xhs_magtheridon_brutal_slam"                                                "Acımasız Slam"
		"DOTA_Tooltip_ability_xhs_magtheridon_brutal_slam_Description"                                    "Uyarılan bir alanı güçlü bir fiziksel saldırıyla vurur."
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_stomp"                                                  "Fel stomp"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_stomp_Description"                                      "Çevresinde uyarılan bir alanı ezer Magtheridon, hasar verir ve düşmanları yavaşlatır."
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms"                                        "Hedefli Ateş Fırtınaları"
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms_Description"                            "Tekrarlanan ateş fırtınalarını uyarılan kahraman konumlarına çağırır."
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure"                                                "Fel Çatlağı"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_Description"                                    "Yırtıklar, arenada telgrafla gönderilen bir fel yarığını açıyor."
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings"                                             "Cehennem Yüzükleri"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_Description"                                 "Cehennem patlamalarından oluşan eşmerkezli halkalar yaratır.Onların çukurları oyalanıyor %linger_duration%s, patlama sırasında hasar verir ve onlara giren düşmanları sabitler."
		"DOTA_Tooltip_ability_xhs_magtheridon_demonic_howl"                                               "Şeytani Uluma"
		"DOTA_Tooltip_ability_xhs_magtheridon_demonic_howl_Description"                                   "Yakındaki düşmanlara hasar verir ve onların hareketlerini, saldırılarını ve verdikleri hasarı zayıflatır."
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture"                                                    "Şeytani Kopuş"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_Description"                                        "Bağlı şiddetli bir kopuşu serbest bırakır Magtheridonşeytani yeniden doğuş tamircisi."
		"DOTA_Tooltip_ability_xhs_grom_mirror_trial_clone_health"                                         "KLON SAĞLIĞI:"
		"DOTA_Tooltip_ability_xhs_grom_blade_storm_radius"                                                "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_grom_blade_storm_duration"                                              "SÜRE:"
		"DOTA_Tooltip_ability_xhs_grom_blade_storm_tick_rate"                                             "TİK ORANI:"
		"DOTA_Tooltip_ability_xhs_grom_blade_storm_damage_per_second"                                     "SANİYE BAŞINA HASAR:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_cleave_source_count"                                        "KAYNAK SAYISI:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_cleave_source_stagger"                                      "KAYNAK STAGGER:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_cleave_length"                                              "UZUNLUK:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_cleave_width"                                               "GENİŞLİK:"
		"DOTA_Tooltip_ability_xhs_grom_mirror_cleave_damage"                                              "HASAR:"
		"DOTA_Tooltip_ability_xhs_grom_windwalk_ambush_target_radius"                                     "HEDEF YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_grom_windwalk_ambush_vanish_delay"                                      "KAYIP GECİKMESİ:"
		"DOTA_Tooltip_ability_xhs_grom_windwalk_ambush_strike_delay"                                      "VURUŞ GECİKMESİ:"
		"DOTA_Tooltip_ability_xhs_grom_windwalk_ambush_length"                                            "UZUNLUK:"
		"DOTA_Tooltip_ability_xhs_grom_windwalk_ambush_width"                                             "GENİŞLİK:"
		"DOTA_Tooltip_ability_xhs_grom_windwalk_ambush_damage"                                            "HASAR:"
		"DOTA_Tooltip_ability_xhs_grom_warsong_leap_radius"                                               "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_grom_warsong_leap_travel_delay"                                         "SEYAHAT GECİKMESİ:"
		"DOTA_Tooltip_ability_xhs_grom_warsong_leap_damage"                                               "HASAR:"
		"DOTA_Tooltip_ability_xhs_grom_warsong_leap_slow_duration"                                        "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_grom_blood_frenzy_stack_duration"                                       "Yığın Süresi:"
		"DOTA_Tooltip_ability_xhs_grom_blood_frenzy_damage_per_stack"                                     "Yığın Başına Hasar:"
		"DOTA_Tooltip_ability_xhs_grom_blood_frenzy_attack_speed_per_stack"                               "YÜK BAŞINA SALDIRI HIZI:"
		"DOTA_Tooltip_ability_xhs_grom_blood_frenzy_max_stacks"                                           "MAX Yığın Sayısı:"
		"DOTA_Tooltip_ability_xhs_spirit_master_ball_lightning_ball_lightning_initial_mana_base"          "YILDIRIM KÜRESELİNİN İLK MANA ÜSSÜ:"
		"DOTA_Tooltip_ability_xhs_spirit_master_ball_lightning_ball_lightning_travel_cost_base"           "TOPLAM YILDIRIM SEYAHAT MALİYET TABANLARI:"
		"DOTA_Tooltip_ability_xhs_spirit_master_ball_lightning_ball_lightning_vision_radius"              "KÜRESEL YILDIRIM GÖRÜŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_brutal_slam_cast_point"                                     "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_brutal_slam_radius"                                         "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_magtheridon_brutal_slam_attack_damage_pct"                              "SALDIRI HASARI %'si:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_stomp_cast_point"                                       "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_stomp_radius"                                           "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_stomp_damage"                                           "HASAR:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_stomp_damage_pct"                                       "%HASAR:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_stomp_slow_duration"                                    "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_stomp_movement_slow"                                    "%HAREKET YAVAŞ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_stomp_attack_slow"                                      "SALDIRI YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms_cast_point"                             "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms_radius"                                 "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms_target_count"                           "HEDEF SAYISI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms_waves"                                  "DALGALAR:"
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms_wave_interval"                          "DALGA ARALIĞI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms_target_stagger"                         "HEDEF STAGGER:"
