"lang"
{
	"Language"	"Russian"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_Description"                                        "Увеличивает скорость передвижения, скорость атаки, броню и регенерацию жизни ближайших дружественных юнитов."
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_Note0"                                              "Складывается ТОЛЬКО с аурой выносливости!"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bat_reduction"                                      "УМЕНЬШЕНИЕ БАЗОВОГО ИНТЕРВАЛА АТАК:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_movement_speed_percentage"                    "%СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_armor"                                        "ДОП. БРОНЯ:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_health_regen"                                 "БОНУСНОЕ ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_radius"                                             "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_shockwave"                                                          "Волна силы"
		"DOTA_Tooltip_ability_holdout_shockwave_Description"                                              "Волна магической энергии, исходящая от героя и наносящая урон всем противникам, оказавшимся у нее на пути."
		"DOTA_Tooltip_ability_holdout_shockwave_start_radius"                                             "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_shockwave_range"                                                    "ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_shockwave_speed"                                                    "СКОРОСТЬ:"
		"DOTA_Tooltip_ability_holdout_war_stomp"                                                          "Громовая поступь"
		"DOTA_Tooltip_ability_holdout_war_stomp_Description"                                              "Ударяет по земле, оглушая и нанося урон ближайшим вражеским юнитам."
		"DOTA_Tooltip_ability_holdout_war_stomp_radius"                                                   "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_war_stomp_stun_duration"                                            "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_war_stomp_stomp_damage"                                             "УРОН:"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura"                                           "Аура Выносливости"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_Description"                               "Увеличивает скорость передвижения и скорость атаки ближайших дружественных юнитов."
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_Note0"                                     "Складывается ТОЛЬКО с божественной аурой!"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_bat_reduction"                             "БАЗОВАЯ СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_endurance_bonus_movement_speed"            "%СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_radius"                                    "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_pulverize"                                                          "Сокрушение"
		"DOTA_Tooltip_ability_holdout_pulverize_Description"                                              "Наносите урон всем ближайшим вражеским юнитам в радиусе каждый раз, когда вождь тауренов применяет активную способность."
		"DOTA_Tooltip_ability_holdout_pulverize_aftershock_range"                                         "ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_pulverize_aftershock_damage"                                        "УРОН:"
		"DOTA_Tooltip_ability_holdout_lightning_stroke"                                                   "Удар Молнии"
		"DOTA_Tooltip_ability_holdout_lightning_stroke_Description"                                       "Наносит урон всем врагам поблизости в радиусе действия."
		"DOTA_Tooltip_ability_holdout_lightning_stroke_area_of_effect"                                    "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_lightning_stroke_stun_duration"                                     "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_lightning_stroke_projectile_speed"                                  "СКОРОСТЬ:"
		"DOTA_Tooltip_ability_holdout_shockwave_20"                                                       "Ударная волна (Уровень 20)"
		"DOTA_Tooltip_ability_holdout_shockwave_20_Description"                                           "Волна магической энергии, исходящая от героя и наносящая урон всем противникам, оказавшимся у нее на пути."
		"DOTA_Tooltip_ability_holdout_shockwave_20_start_radius"                                          "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_shockwave_20_range"                                                 "ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_shockwave_20_speed"                                                 "СКОРОСТЬ:"
		"DOTA_Tooltip_ability_holdout_war_stomp_20"                                                       "Громовая поступь (Уровень 20)"
		"DOTA_Tooltip_ability_holdout_war_stomp_20_Description"                                           "Ударяет по земле, оглушая и нанося урон ближайшим вражеским юнитам."
		"DOTA_Tooltip_ability_holdout_war_stomp_20_radius"                                                "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_war_stomp_20_stun_duration"                                         "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_war_stomp_20_stomp_damage"                                          "УРОН:"
		"DOTA_Tooltip_ability_holdout_roar_20"                                                            "Рев (Уровень 20)"
		"DOTA_Tooltip_ability_holdout_roar_20_Description"                                                "Увеличивает урон союзников на %bonus_damage_percentage%% + %bonus_damage%."
		"DOTA_Tooltip_ability_holdout_roar_20_bonus_damage_percentage"                                    "%ДОП. УРОН:"
		"DOTA_Tooltip_ability_holdout_roar_20_bonus_damage"                                               "ДОПОЛНИТЕЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_roar_20_bonus_armor"                                                "ДОП. БРОНЯ:"
		"DOTA_Tooltip_ability_holdout_roar_20_duration"                                                   "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_reincarnation"                                                      "Перерождение"
		"DOTA_Tooltip_ability_holdout_reincarnation_Description"                                          "Позволяет герою возродиться в случае смерти."
		"DOTA_Tooltip_ability_holdout_reincarnation_reincarnation_time"                                   "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_reincarnation"                                                             "Перерождение"
		"DOTA_Tooltip_modifier_reincarnation_Description"                                                 "Оживляет героя, если он убит."
		"DOTA_Tooltip_ability_holdout_carrion_swarm"                                                      "Рой падальщиков"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_Description"                                          "Посылает вперёд стаю крылатых тварей, наносящих урон врагам на своём пути."
		"DOTA_Tooltip_ability_holdout_carrion_swarm_Lore"                                                 "Многие походы повелителя ужаса в могилу собирают стаю проклятых."
		"DOTA_Tooltip_ability_holdout_carrion_swarm_Note0"                                                "Задевает существ на расстоянии до 1110 единиц."
		"DOTA_Tooltip_ability_holdout_carrion_swarm_range"                                                "ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_chaos"                                                              "Хаос"
		"DOTA_Tooltip_ability_holdout_chaos_Description"                                                  "Герой низвергает с небес пылающий метеорит, который наносит урон и оглушает врага на 2 секунды в области применения."
		"DOTA_Tooltip_ability_holdout_chaos_Lore"                                                         "Нисхождение смерти Тарака."
		"DOTA_Tooltip_ability_holdout_chaos_Note0"                                                        "Касание метеорита наносит урон раз в 0.5 сек. и поджигает врагов на 3 сек."
		"DOTA_Tooltip_ability_holdout_chaos_land_time"                                                    "ИНТЕРВАЛ УРОНА ОТ КАСАНИЯ:"
		"DOTA_Tooltip_ability_holdout_chaos_area_of_effect"                                               "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_chaos_travel_distance"                                              "РАССТОЯНИЕ:"
		"DOTA_Tooltip_ability_holdout_chaos_main_damage"                                                  "НАЧ. УРОН:\n"
		"DOTA_Tooltip_ability_holdout_chaos_damage_interval"                                              "ВРЕМЯ ДЕЙСТВИЯ ОГНЯ:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_duration"                                                "ДЛИТЕЛЬНОСТЬ ГОРЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_dps"                                                     " УРОН ОТ ОГНЯ:"
		"DOTA_Tooltip_ability_holdout_chaos_total_damage_tooltip"                                         "ОБЩИЙ УРОН:"
		"DOTA_Tooltip_modifier_storm_bolt_datardriven"                                                    "Оглушён метеоритом"
		"DOTA_Tooltip_modifier_invoker_chaos_meteor_datadriven"                                           "Подожжён метеоритом"
		"DOTA_Tooltip_ability_holdout_aura_of_blight"                                                     "Аура порчи"
		"DOTA_Tooltip_ability_holdout_aura_of_blight_Description"                                         "Даёт всем союзникам дополнительное восстановление здоровья."
		"DOTA_Tooltip_ability_holdout_aura_of_blight_aura_radius"                                         "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_aura_of_blight_bonus_health_regen"                                  "ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
		"DOTA_Tooltip_modifier_aura_of_blight"                                                            "Аура порчи"
		"DOTA_Tooltip_modifier_aura_of_blight_Description"                                                "Дает пассивную регенерацию здоровья."
		"DOTA_Tooltip_ability_holdout_death_coil"                                                         "Лик Смерти"
		"DOTA_Tooltip_ability_holdout_death_coil_Description"                                             "Бросает сгусток смерти в выбранного врага, нанося урон и оглушая на 1 секунду."
		"DOTA_Tooltip_ability_holdout_death_coil_blast_stun_duration"                                     "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_sleep"                                                              "Сон"
		"DOTA_Tooltip_ability_holdout_sleep_Description"                                                  "Оглушает врага. Цель просыпается, когда на неё нападают."
		"DOTA_Tooltip_ability_holdout_sleep_nightmare_invuln_time"                                        "ДЛИТЕЛЬНОСТЬ НЕУЯЗВИМОСТИ:"
		"DOTA_Tooltip_ability_holdout_sleep_duration"                                                     "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_inferno"                                                            "Ад"
		"DOTA_Tooltip_ability_holdout_inferno_Description"                                                "Вызывает с небес голема, оглушающего врагов на 2 секунды и наносящего им урон в области приземления. Голем живёт 60 сек."
		"DOTA_Tooltip_ability_holdout_inferno_radius"                                                     "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_inferno_infernal_duration"                                          "ВРЕМЯ ЖИЗНИ ГОЛЕМА:"
		"DOTA_Tooltip_ability_holdout_inferno_stun_hero_duration"                                         "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ ГЕРОЕВ:"
		"DOTA_Tooltip_ability_holdout_inferno_stun_creep_duration"                                        "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ КРИПОВ:"
		"DOTA_Tooltip_ability_holdout_inferno_inferno_count"                                              "ГОЛЕМОВ:"
		"DOTA_Tooltip_ability_dread_lord_inferno_immolation"                                              "Вечное Возгорание"
		"DOTA_Tooltip_ability_dread_lord_inferno_immolation_Description"                                  "Поджигает ближайших врагов, нанося им 10 урона в секунду."
		"DOTA_Tooltip_ability_dread_lord_inferno_immolation_radius"                                       "РАДИУС:"
		"DOTA_Tooltip_ability_dread_lord_inferno_immolation_dps"                                          "УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20"                                                   "Дождь Хаоса"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_Description"                                       "Вызывает метеоры вокруг героя, оглушающие врагов."
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_damage_per_unit"                                   "УРОН МЕТЕОРИТА:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_radius"                                            "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_stun_duration"                                     "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_time_between_meteors"                              "ВРЕМЯ МЕЖДУ МЕТЕОРИТАМИ:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_meteors_per_tick"                                  "МЕТЕОРИТОВ ЗА РАЗ:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_radius_explosion"                                  "РАДИУС МЕТЕОРИТА:"
		"DOTA_Tooltip_ability_holdout_evasion"                                                            "Змеиная ловкость"
		"DOTA_Tooltip_ability_holdout_evasion_Description"                                                "Дриада сосредотачивается внутри, увеличивая свою способность уклоняться от атак противника.\n\nСкладывается с другими источниками уклонения по убыванию."
		"DOTA_Tooltip_ability_holdout_evasion_SummaryDescription"                                         "Дает шанс уклониться от атак."
		"DOTA_Tooltip_ability_holdout_evasion_Lore"                                                       "Медитация Скрытой сестры позволяет ей предвидеть опасность до того, как она наступит."
		"DOTA_Tooltip_ability_holdout_evasion_bonus_evasion"                                              "%УКЛОНЕНИЕ:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows"                                                    "Разделенный выстрел"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_Description"                                        "Разделяет каждую атаку на дополнительных ближайших врагов.Вторичные стрелы наносят уменьшенный урон от атаки и накладывают «Ядовитую атаку», но не вызывают другие эффекты атаки."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_SummaryDescription"                                 "Атакует дополнительных врагов стрелами с уменьшенным уроном."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_Lore"                                               "Одна зачарованная стрела превращается в смертельный залп в руках Дриады."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_Note0"                                              "Вторичные стрелки отдают приоритет ближайшим врагам и исключают основную цель."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_Note1"                                              "Иллюзии Дриады также наследуют способность Split Shot."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_damage_modifier_tooltip"                            "%НАНОСИМЫЙ УРОН:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_arrow_count"                                        "ДОПОЛНИТЕЛЬНЫЕ ЦЕЛИ:"
		"DOTA_Tooltip_ability_holdout_poison_attack"                                                      "Ядовитая Атака"
		"DOTA_Tooltip_ability_holdout_poison_attack_Description"                                          "Атаки дриады отравляют врагов, нанося с течением времени магический урон.Дополнительные стрелы Split Shot также наносят яд."
		"DOTA_Tooltip_ability_holdout_poison_attack_SummaryDescription"                                   "Атаки отравляют врагов, нанося им магический урон с течением времени."
		"DOTA_Tooltip_ability_holdout_poison_attack_duration"                                             "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_poison_attack_damage"                                               "УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_modifier_poison_attack_debuff"                                                      "Ядовитая Атака"
		"DOTA_Tooltip_modifier_poison_attack_debuff_Description"                                          "Получение постепенного магического урона."
		"DOTA_Tooltip_ability_holdout_critical_arrows"                                                    "Критический выстрел"
		"DOTA_Tooltip_ability_holdout_critical_arrows_Description"                                        "Основные атаки Дриады могут нанести критический урон."
		"DOTA_Tooltip_ability_holdout_critical_arrows_SummaryDescription"                                 "Первичные атаки могут нанести критический урон."
		"DOTA_Tooltip_ability_holdout_critical_arrows_crit_bonus"                                         "%КРИТИЧЕСКИЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_critical_arrows_crit_chance"                                        "% КРИТИЧЕСКИЙ ШАНС:"
		"DOTA_Tooltip_ability_holdout_endurance_aura"                                                     "Аура Выносливости"
		"DOTA_Tooltip_ability_holdout_endurance_aura_Description"                                         "Увеличивает скорость передвижения и уменьшает базовое время атаки ближайших союзных героев."
		"DOTA_Tooltip_ability_holdout_endurance_aura_SummaryDescription"                                  "Близлежащие союзные герои двигаются и атакуют быстрее."
		"DOTA_Tooltip_ability_holdout_endurance_aura_Note0"                                               "Суммируется с Божественной Аурой."
		"DOTA_Tooltip_ability_holdout_endurance_aura_bat_reduction"                                       "УМЕНЬШЕНИЕ БАЗОВОГО ИНТЕРВАЛА АТАК:"
		"DOTA_Tooltip_ability_holdout_endurance_aura_radius"                                              "РАДИУС:"
		"DOTA_Tooltip_ability_xhs_trueshot_aura"                                                          "Аура Меткости"
		"DOTA_Tooltip_ability_xhs_trueshot_aura_Description"                                              "Предоставляет союзным героям дальнего боя дополнительный урон от атаки в зависимости от ловкости Дриады."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_SummaryDescription"                                       "Ловкость Дриады увеличивает урон от атак союзных героев дальнего боя."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_Lore"                                                     "Лесные тренировки Дриады оттачивают меткость каждого лучника рядом с ней."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_trueshot_ranged_damage"                                   "% Ловкости дриад в качестве урона:"
		"DOTA_Tooltip_ability_xhs_trueshot_aura_alt"                                                      "Аура Меткости"
		"DOTA_Tooltip_ability_xhs_trueshot_aura_alt_Description"                                          "Добавляет бонусный урон к физической атаке союзных героев дальнего боя на карте в зависимости от процента ловкости Тиранды."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_alt_Lore"                                                 "Тренировки, которым Траксес посвятила очень много времени в одиночестве, позволяют ей легко усиливать потенциал союзных лучников."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_alt_trueshot_ranged_damage"                               "%ДОП. УРОН:"
		"DOTA_Tooltip_ability_holdout_owl_lightning"                                                      "Электрические лучи"
		"DOTA_Tooltip_ability_holdout_owl_lightning_Description"                                          "Наносит урон врагам с каждым прыжком с задержкой."
		"DOTA_Tooltip_ability_holdout_owl_lightning_jump_count"                                           "ЦЕЛЕЙ:"
		"DOTA_Tooltip_ability_holdout_owl_lightning_radius"                                               "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_owl_lightning_jump_delay"                                           "ЗАДЕРЖКА ПРЫЖКА:"
		"DOTA_Tooltip_ability_holdout_forked_lightning"                                                   "Разветвленная Молния"
		"DOTA_Tooltip_ability_holdout_forked_lightning_Description"                                       "Наносит урон нескольким врагам одновременно вокруг цели."
		"DOTA_Tooltip_ability_holdout_forked_lightning_end_radius"                                        "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_targets"                                           "ЦЕЛЕЙ:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_damage"                                            "УРОН:"
		"DOTA_Tooltip_ability_holdout_command_aura"                                                       "Командная аура"
		"DOTA_Tooltip_ability_holdout_command_aura_Description"                                           "Увеличивает урон ближайших союзников."
		"DOTA_Tooltip_ability_holdout_command_aura_bonus_damage_percentage"                               "%ДОП. УРОН:"
		"DOTA_Tooltip_ability_holdout_command_aura_radius"                                                "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_elunes_grace"                                                       "Милость Элуны"
		"DOTA_Tooltip_ability_holdout_elunes_grace_Description"                                           "Уменьшает получаемый урон (исключая чистый урон), увеличивает скорость передвижения и атаки."
		"DOTA_Tooltip_ability_holdout_elunes_grace_damage_reduction"                                      "%УМЕНЬШЕНИЕ УРОНА:"
		"DOTA_Tooltip_ability_holdout_elunes_grace_movement_speed_percentage"                             "%СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_elunes_grace_bat_reduction"                                         "УМЕНЬШЕНИЕ БАЗОВОГО ИНТЕРВАЛА АТАК:"
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive"                                                "Лунные глефы"
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_Description"                                    " Заклинает глефы героя, позволяя им отскакивать по нескольким врагам."
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_range"                                          "ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_bounces"                                        "ОТСКОКОВ:"
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_damage_reduction_percent"                       "%УМЕНЬШЕНИЕ УРОНА:"
		"DOTA_Tooltip_ability_holdout_moon_explosion"                                                     "Лунные взрывы"
		"DOTA_Tooltip_ability_holdout_moon_explosion_Description"                                         "Бьёт случайных врагов неподалёку лучами, нанося огромный урон ближайшим врагам."
		"DOTA_Tooltip_ability_holdout_moon_explosion_radius"                                              "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_moon_explosion_beam_interval"                                       "ИНТЕРВАЛ УДАРОВ:"
		"DOTA_Tooltip_ability_holdout_moon_explosion_beams"                                               "ВСЕГО ЛУЧЕЙ:"
		"DOTA_Tooltip_ability_holdout_moon_explosion_duration_tooltip"                                    "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_moon_explosion_damage"                                              "УРОН:"
		"DOTA_Tooltip_ability_holdout_neutralization"                                                     "Нейтрализация"
		"DOTA_Tooltip_ability_holdout_neutralization_Description"                                         "Применяет безмолвие к врагу, уменьшая наносимый урон на 50% и нанося урон с течением времени."
		"DOTA_Tooltip_ability_holdout_neutralization_damage_percent"                                      "%СНИЖЕНИЕ УРОНА:"
		"DOTA_Tooltip_ability_holdout_neutralization_duration"                                            "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_neutralization"                                                            "Нейтрализация"
		"DOTA_Tooltip_modifier_neutralization_Description"                                                "Не может применять способности и получает урон со временем."
		"DOTA_Tooltip_ability_holdout_frost_nova"                                                         "Морозный Взрыв"
		"DOTA_Tooltip_ability_holdout_frost_nova_Description"                                             "Обдаёт указанного врага морозом, нанося урон в области действия и замедляя передвижение и атаку всех задетых противников на 4 сек. Основная цель получает как базовый урон, так и урон по площади."
		"DOTA_Tooltip_ability_holdout_frost_nova_Lore"                                                    "Маг льда Этриан не забыл даже простейших манипуляций со льдом."
		"DOTA_Tooltip_ability_holdout_frost_nova_aoe_damage"                                              "УРОН ПО ОБЛАСТИ:"
		"DOTA_Tooltip_ability_holdout_frost_nova_radius"                                                  "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_frost_nova_slow_movement_speed"                                     "%ЗАМЕДЛЕНИЕ ДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_frost_nova_slow_attack_speed"                                       "ЗАМЕДЛЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_holdout_frost_breath"                                                       "Морозное Дыхание"
		"DOTA_Tooltip_ability_holdout_frost_breath_Description"                                           "Дышит морозом имеющим форму конуса на врагов, который наносит  урон, затем урон в секунду в течение 3 секунд, отбрасывает существ и замедляет их."
		"DOTA_Tooltip_ability_holdout_frost_breath_Lore"                                                  "Дыхание Короля мёртвых."
		"DOTA_Tooltip_ability_holdout_frost_breath_breath_slow"                                           "% ЗАМЕДЛЕННОЕ ДЫХАНИЕ:"
		"DOTA_Tooltip_ability_holdout_frost_breath_initial_damage"                                        "НАЧАЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_frost_breath_damage_per_second"                                     "УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_holdout_frost_breath_wave_range_tooltip"                                    "ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_frost_breath_wave_width"                                            "ШИРИНА:"
		"DOTA_Tooltip_ability_holdout_frost_breath_knockback_duration"                                    "ДЛИТЕЛЬНОСТЬ ОТБРАСЫВАНИЯ:"
		"DOTA_Tooltip_ability_holdout_frost_breath_total_damage_tooltip"                                  "ОБЩИЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_frost_armor"                                                        "Морозный Щит"
		"DOTA_Tooltip_ability_holdout_frost_armor_Description"                                            "Создает щит вокруг дружественного отряда или здания, увеличивая его броню и замедляя атакующих его врагов."
		"DOTA_Tooltip_ability_holdout_frost_armor_Lore"                                                   "Первоначально созданный для самообороны, герой способен зачаровывать других грозной защитой магии льда."
		"DOTA_Tooltip_ability_holdout_frost_armor_Note0"                                                  "Если автокаст включен, Frost Shield накладывается на ближайших союзников, когда они подвергаются атаке."
		"DOTA_Tooltip_ability_holdout_frost_armor_armor_bonus"                                            "ДОП. БРОНЯ СОЮЗНИКАМ:"
		"DOTA_Tooltip_ability_holdout_frost_armor_building_armor_bonus_tooltip"                           "БОНУС ПОСТРОЕНИЯ БРОНИ:"
		"DOTA_Tooltip_ability_holdout_frost_armor_slow_movement_speed"                                    "%ЗАМЕДЛЕНИЕ ДВИЖЕНИЯ ВРАГОВ:"
		"DOTA_Tooltip_ability_holdout_frost_armor_slow_attack_speed"                                      "ЗАМЕДЛЕНИЕ АТАКИ ВРАГОВ:"
		"DOTA_Tooltip_ability_holdout_frost_armor_slow_duration"                                          "ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_frost_armor_duration"                                               "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_lich_frost_armor"                                                          "Морозный щит"
		"DOTA_Tooltip_modifier_lich_frost_armor_Description"                                              "Броня увеличена.Враги, атакующие этого юнита, замедляются."
		"DOTA_Tooltip_modifier_lich_frost_armor_slow"                                                     "Ледяной щит: замедление"
		"DOTA_Tooltip_modifier_lich_frost_armor_slow_Description"                                         "Скорость передвижения и скорость атаки уменьшаются из-за «Ледяного щита»."
		"DOTA_Tooltip_ability_lich_frost_armor"                                                           "Морозный щит"
		"DOTA_Tooltip_ability_lich_frost_armor_Description"                                               "Предоставляет броню дружественному отряду или зданию.Враги, атакующие защищенную цель, замедляются."
		"DOTA_Tooltip_ability_lich_frost_armor_armor_bonus"                                               "БОНУС БРОНИ:"
		"DOTA_Tooltip_ability_lich_frost_armor_slow_movement_speed"                                       "% ВРАГ ДВИЖЕТСЯ ЗАМЕДЛЕННО:"
		"DOTA_Tooltip_ability_lich_frost_armor_slow_attack_speed"                                         "ЗАМЕДЛЕНИЕ ВРАЖЕЙ АТАКИ:"
		"DOTA_Tooltip_ability_lich_frost_armor_slow_duration"                                             "ПРОДОЛЖИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_frost_arrows"                                                       "Ледяные Стрелы"
		"DOTA_Tooltip_ability_holdout_frost_arrows_Description"                                           "Добавляет замораживающий эффект к атакам Лича, замедляя движение противника.Длится %frost_arrows_duration% секунды."
		"DOTA_Tooltip_ability_holdout_frost_arrows_Lore"                                                  "Покрытые льдом стрелы беззвучно пронзают воздух, насквозь промораживая врагов."
		"DOTA_Tooltip_ability_holdout_frost_arrows_Note0"                                                 "Каждое попадание обновляет отсчёт до окончания замедления."
		"DOTA_Tooltip_ability_holdout_frost_arrows_bonus_damage"                                          "ДОПОЛНИТЕЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_frost_arrows_frost_arrows_movement_speed"                           "%ЗАМЕДЛЕНИЕ ДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_frost_arrows_frost_arrows_duration"                                 "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_frost_frenzy"                                                       "Ледяное Безумие"
		"DOTA_Tooltip_ability_holdout_frost_frenzy_Description"                                           "Увеличивает скорость атаки цели, но тратит 10 здоровья в секунду."
		"DOTA_Tooltip_ability_holdout_frost_frenzy_damage_tooltip"                                        "УРОН:"
		"DOTA_Tooltip_ability_holdout_frost_frenzy_duration"                                              "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_frost_frenzy_extra_incoming_damage"                                 "%УВЕЛИЧЕНИЕ ПОЛУЧАЕМОГО УРОНА:"
		"DOTA_Tooltip_ability_holdout_frost_frenzy_bonus_attack_speed"                                    "ДОП. СКОРОСТЬ АТАКИ"
		"DOTA_Tooltip_modifier_frost_frenzy"                                                              "Ледяное Безумие"
		"DOTA_Tooltip_modifier_frost_frenzy_Decription"                                                   "Лич в ярости, что увеличивает его скорость атаки."
		"DOTA_Tooltip_ability_holdout_frost_beast"                                                        "Призыв Ледяного Зверя"
		"DOTA_Tooltip_ability_holdout_frost_beast_Description"                                            "Вызывает с небес Морозного зверя, оглушающего врагов на 2 секунды и наносящего им урон в области приземления. Морозный зверь живёт 60 сек."
		"DOTA_Tooltip_ability_holdout_frost_beast_radius"                                                 "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_frost_beast_infernal_duration"                                      "ВРЕМЯ ЖИЗНИ ЗВЕРЯ:"
