"lang"
{
	"Language"	"Vietnamese"
		"DOTA_Tooltip_ability_nyx_assassin_impale_Note0"                                                  "Nút chuyển đổi không bao giờ tự động sử dụng Impale;nó chỉ kiểm soát mức độ ưu tiên của mục tiêu Carrion Beetle."
		"DOTA_Tooltip_ability_nyx_assassin_impale_impale_damage"                                          "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_nyx_assassin_impale_duration"                                               "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_nyx_assassin_impale_infested_duration"                                      "THỜI GIAN NHIỄM TRÙNG:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles"                                                    "bọ cánh cứng"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_Description"                                        "Làm mới Bọ cánh cứng Carrion đang hoạt động.Sát thương của nó tăng theo Sức mạnh của Crypt Lord và sát thương tấn công.Các đòn tấn công của nó áp dụng Bệnh dịch hạch Carrion và gây thêm sát thương cho kẻ địch bị nhiễm khuẩn."
		"DOTA_Tooltip_ability_holdout_carrion_beetles_Note0"                                              "Sử dụng khả năng này sẽ thay thế Bọ Carrion đang hoạt động mà không thay đổi số lần triệu hồi hiện tại."
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_duration"                                      "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_bat"                                           "THỜI GIAN TẤN CÔNG CƠ BẢN:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_damage"                                        "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_hp"                                            "HP:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_strength_damage_pct"                                "% SỨC MẠNH NHƯ SỰ THIỆT HẠI CỦA BEETLE:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_hero_attack_damage_pct"                             "% SÁT THƯƠNG CÔNG KÍCH HERO:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_infested_bonus_pct"                                 "% THIỆT HẠI ĐỐI VỚI ĐỐI THỦ BỊ NHIỄM:"
		"DOTA_Tooltip_ability_holdout_poison_sting"                                                       "Bệnh dịch hạch"
		"DOTA_Tooltip_ability_holdout_poison_sting_Description"                                           "Crypt Lord và Carrion Beetle của hắn đầu độc kẻ thù khi tấn công, cộng dồn tối đa %max_stacks% lần.Kẻ địch bị trúng độc sẽ phát nổ khi chết, gây sát thương cho những kẻ địch ở gần và chữa lành tổ ong.Vụ nổ không bao giờ lây lan Dịch hạch Carrion."
		"DOTA_Tooltip_ability_holdout_poison_sting_duration"                                              "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_poison_sting_damage"                                                "SÁT THƯƠNG MỖI GIÂY MỖI NGỒI:"
		"DOTA_Tooltip_ability_holdout_poison_sting_bonus_movement_speed"                                  "% CHUYỂN ĐỘNG CHẬM TRÊN MỖI NGỒI:"
		"DOTA_Tooltip_ability_holdout_poison_sting_death_burst_damage"                                    "CHẾT Bùng nổ MỖI CỘNG ĐỒNG:"
		"DOTA_Tooltip_ability_holdout_poison_sting_death_burst_radius"                                    "BÁN KÍCH Bùng nổ tử vong:"
		"DOTA_Tooltip_ability_holdout_poison_sting_death_heal"                                            "HIVE HEAL MỖI NGỒI:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace"                                                    "mai có gai"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_Description"                                        "Tăng giáp một cách thụ động và phản ánh phần trăm sát thương thực tế nhận được, với mức độ trả đũa tối thiểu đối với lính.Kích hoạt để giảm sát thương nhận vào và giải phóng xung tăng đột biến trong khu vực mỗi lần %pulse_hits% các cuộc tấn công nhận được."
		"DOTA_Tooltip_ability_holdout_spiked_carapace_hero_return_percent"                                "% SÁT THƯƠNG TRẢ LẠI CHO ANH HÙNG:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_creep_return_percent"                               "% THIỆT HẠI ĐƯỢC TRẢ LẠI CHO LÒNG:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_bonus_armor"                                        "GIÁP THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_creep_return_minimum"                               "TRỞ LẠI CREEP TỐI THIỂU:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_active_duration"                                    "THỜI GIAN HOẠT ĐỘNG:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_active_damage_reduction"                            "GIẢM THIỆT HẠI HOẠT ĐỘNG %:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_pulse_damage"                                       "THIỆT HẠI XUNG:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_pulse_radius"                                       "Bán kính xung:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw"                                                      "Sự điên cuồng của tổ ong"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_Description"                                          "Crypt Lord và Carrion Beetle đang hoạt động của anh ta nhận được tốc độ tấn công và di chuyển.Giết kẻ thù bị đầu độc kéo dài sự điên cuồng bằng cách %kill_extension% giây, lên tới %max_extension% giây bổ sung."
		"DOTA_Tooltip_ability_holdout_anubarak_claw_duration"                                             "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_bonus_attack_speed"                                   "TỐC ĐỘ ĐÁNH THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_kill_extension"                                       "GIẾT MỞ RỘNG:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_max_extension"                                        "MỞ RỘNG TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_locust_swarm"                                                       "đàn châu chấu"
		"DOTA_Tooltip_ability_holdout_locust_swarm_Description"                                           "Giải phóng một đàn ưu tiên kẻ thù bị Nhiễm khuẩn, gây thêm sát thương cho chúng, làm mới sự xâm nhập và ngay lập tức chữa lành vết thương cho Crypt Lord theo một phần sát thương gây ra.Bầy đàn cũng trả lại khả năng hồi phục đã lưu trữ khi nó kết thúc."
		"DOTA_Tooltip_ability_holdout_locust_swarm_Lore"                                                  "Theo thời gian, tàn tích của banshee từ kiếp trước của cô quay trở lại ám ảnh hiện tại."
		"DOTA_Tooltip_ability_holdout_locust_swarm_Note0"                                                 "Bán kính đại diện cho khu vực mà các linh hồn sẽ tiếp cận mục tiêu xung quanh Crypt Lord."
		"DOTA_Tooltip_ability_holdout_locust_swarm_Note1"                                                 "Sát thương của dơi không bị giảm bởi khả năng chặn sát thương."
		"DOTA_Tooltip_ability_holdout_locust_swarm_radius"                                                "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_spirits"                                               "Dơi:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_heal_percent"                                          "% CUỘC SỐNG THOÁT:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_average_damage"                                        "THIỆT HẠI Dơi:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_infested_bonus_pct"                                    "% THIỆT HẠI ĐỐI VỚI NHIỄM:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_instant_heal_pct"                                      "%Hồi phục NGAY LẬP TỨC:"
		"DOTA_Tooltip_ability_holdout_burrow_impale"                                                      "đào hang"
		"DOTA_Tooltip_ability_holdout_burrow_impale_Description"                                          "Crypt Lord đang tự đào hang và đâm xuyên qua tất cả các đơn vị địch xung quanh."
		"DOTA_Tooltip_ability_holdout_burrow_impale_damage"                                               "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_radius"                                               "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_tick_time"                                            "THỜI GIAN GIỮA CÁC IMPALES:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_duration"                                             "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_total_impales_tooltip"                                "TỔNG CÁC HÌNH ẢNH:"
		"DOTA_Tooltip_ability_holdout_burrow_impale_total_damage_tooltip"                                 "TỔNG THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_entrench"                                                           "cố thủ"
		"DOTA_Tooltip_ability_holdout_entrench_Description"                                               "Cho phép Desert Wyrm đào hang dưới lòng đất để tránh mọi nguồn sát thương.Gây sát thương và choáng khi thả ra."
		"DOTA_Tooltip_ability_holdout_entrench_Note0"                                                     "Desert Wyrm bất khả xâm phạm khi đào hang."
		"DOTA_Tooltip_ability_holdout_entrench_Note1"                                                     "Sa mạc Wyrm Unentrench sau %max_duration% tự động."
		"DOTA_Tooltip_ability_holdout_entrench_disappear_time"                                            "THỜI GIAN BURROW:"
		"DOTA_Tooltip_ability_holdout_entrench_radius"                                                    "Bán kính (UNENTRENCH):"
		"DOTA_Tooltip_ability_holdout_entrench_damage_out"                                                "THIỆT HẠI (UNENTRENCH):"
		"DOTA_Tooltip_ability_holdout_entrench_stun_duration"                                             "THỜI GIAN CHOÁNG (UNENTRENCH):"
		"DOTA_Tooltip_ability_holdout_entrench_max_duration"                                              "THỜI GIAN BURROW TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_unentrench"                                                         "rút hầm"
		"DOTA_Tooltip_ability_holdout_unentrench_Description"                                             "Thả Desert Wyrm, gây sát thương lớn và làm choáng kẻ địch xung quanh."
		"DOTA_Tooltip_ability_holdout_unentrench_Note0"                                                   "Sa mạc Wyrm Unentrench sau %max_duration% tự động."
		"DOTA_Tooltip_ability_holdout_unentrench_disappear_time"                                          "THỜI GIAN BURROW:"
		"DOTA_Tooltip_ability_holdout_unentrench_radius"                                                  "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_unentrench_damage_out"                                              "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_unentrench_stun_duration"                                           "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_modifier_burrowing"                                                                 "đào hang"
		"DOTA_Tooltip_modifier_burrowing_Description"                                                     "Đào vàng!"
		"DOTA_Tooltip_modifier_burrowed"                                                                  "đào hang"
		"DOTA_Tooltip_modifier_burrowed_Description"                                                      "Desert Wyrm bất khả xâm phạm khi đào hang."
		"DOTA_Tooltip_ability_holdout_tornado_tempest"                                                    "cơn lốc xoáy"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_Description"                                        "Gửi một cơn lốc xoáy ném kẻ thù lên không trung, gây sát thương cho chúng khi tiếp đất."
		"DOTA_Tooltip_ability_holdout_tornado_tempest_travel_distance"                                    "KHOẢNG CÁCH Lốc xoáy:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_travel_speed"                                       "TỐC ĐỘ Lốc xoáy:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_area_of_effect"                                     "AOE:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_lift_duration"                                      "THỜI GIAN NÂNG:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_base_damage"                                        "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_acid_skin"                                                          "Da axit"
		"DOTA_Tooltip_ability_holdout_acid_skin_duration"                                                 "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_acid_skin_bonus_movement_speed"                                     "% GIẢM TỐC ĐỘ DI CHUYỂN:"
		"DOTA_Tooltip_ability_holdout_acid_skin_bonus_attack_speed"                                       "GIẢM TỐC ĐỘ TẤN CÔNG:"
		"DOTA_Tooltip_ability_holdout_acid_skin_bonus_magic_resistance"                                   "% KHÁNG PHÉP THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_acid_skin_damage"                                                   "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form"                                                 "Dạng rồng sa mạc"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_Description"                                     "Biến Desert Wyrm thành Rồng Bắc Cực, mang lại các đòn tấn công bằng đòn chém và khả năng mới."
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_bonus_range"                                     "PHẠM VI TẤN THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_duration"                                        "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_splash_radius"                                   "BÁNH QUAY TẮT"
		"DOTA_Tooltip_ability_holdout_desert_dragon_form_splash_damage_percent"                           "%TẮT"
		"DOTA_Tooltip_modifier_dragon_form"                                                               "dạng rồng"
		"DOTA_Tooltip_ability_holdout_arctic_flyout"                                                      "Chuyến bay Bắc Cực"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Description"                                          "Desert Wyrm bay lên trong cơn gió Bắc Cực, giúp cô di chuyển không bị cản trở và cho phép cô tỏa ra cảm giác ớn lạnh sau mỗi đòn tấn công.Trong khi bay lên, các đòn tấn công của cô ấy di chuyển xa hơn và nhanh hơn, đồng thời làm chậm kẻ thù bằng khả năng đóng băng ma thuật giúp loại bỏ chúng. %percent_damage%%% lượng máu hiện tại của họ mỗi giây.Tầm nhìn của cô cũng trở nên cứng rắn hơn trước cái lạnh ban đêm, giúp cô có được %night_vision_bonus% phạm vi tầm nhìn bổ sung vào ban đêm trong khi bay cao."
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Lore"                                                 "Cơ quan tương tự nơi một số con rồng khơi dậy ngọn lửa bên trong của chúng, ở Auroth, là một lò nung lạnh giá không thể tưởng tượng được.Từ sâu trong thực quản băng giá của cô, một hơi thở ra khiến kẻ thù chìm trong cơn đau đớn tột cùng."
		"DOTA_Tooltip_ability_holdout_arctic_flyout_duration"                                             "THỜI GIAN BAY:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_attack_range_bonus"                                   "PHẠM VI TẤN THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_percent_damage"                                       "% SỨC KHỎE BỎ LỠ:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_move_slow"                                            "% CHUYỂN ĐỘNG CHẬM:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_damage_duration"                                      "THỜI GIAN CHÁY:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_night_vision_bonus"                                   "THÊM PHẠM VI TẦM NHÌN ĐÊM:"
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Note0"                                                "Đơn vị địch chỉ có thể nhận debuff Arctic Burn một lần trong mỗi lần sử dụng."
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Note1"                                                "Khả năng này không ảnh hưởng Roshan."
		"DOTA_Tooltip_ability_holdout_arctic_flyout_Note2"                                                "Giảm điểm tấn công của Winter Wyvern xuống 0,1."
		"DOTA_Tooltip_ability_holdout_arctic_breath"                                                      "Hơi thở Bắc Cực"
		"DOTA_Tooltip_ability_holdout_arctic_breath_Description"                                          "Thả một con rồng băng, phóng ra một làn sóng lửa thiêu đốt mọi kẻ thù trên đường đi của nó."
		"DOTA_Tooltip_ability_holdout_arctic_breath_Lore"                                                 "Tại vùng đất cằn cỗi thiêu đốt Misrule, bậc thầy đã học cách điều khiển hơi thở rực lửa của Desert Wyrm như một hình thức giải trí."
		"DOTA_Tooltip_ability_holdout_arctic_breath_Note0"                                                "Hơi thở Bắc Cực có thể tấn công các đơn vị cách xa tới 1225 đơn vị."
		"DOTA_Tooltip_ability_holdout_arctic_breath_damage"                                               "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_arctic_breath_distance"                                             "KHOẢNG CÁCH:"
		"DOTA_Tooltip_ability_holdout_arctic_breath_start_width"                                          "BẮT ĐẦU CHIỀU RỘNG:"
		"DOTA_Tooltip_ability_holdout_arctic_breath_end_width"                                            "CHIỀU RỘNG KẾT THÚC:"
		"DOTA_Tooltip_ability_holdout_arctic_skin"                                                        "Da Bắc Cực"
		"DOTA_Tooltip_ability_holdout_arctic_skin_Description"                                            "Tạo cơ hội để đóng băng kẻ tấn công.Kẻ địch tấn công Desert Wyrm có khả năng bị choáng."
		"DOTA_Tooltip_ability_holdout_arctic_skin_Lore"                                                   "Xoay vào ranh giới của thực tế, Rồng Bắc Cực biểu hiện lòng căm thù làm tê liệt những ai chống lại ý chí của hắn."
		"DOTA_Tooltip_ability_holdout_arctic_skin_radius"                                                 "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_arctic_skin_ensnare_duration"                                       "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_arctic_skin_ensnare_damage"                                         "SÁT THƯƠNG CHOáng:"
		"DOTA_Tooltip_ability_holdout_arctic_skin_ensnare_chance"                                         "%CƠ HỘI CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt"                                                    "Hào quang thần thánh"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_Description"                                        "Tăng tốc độ di chuyển, Tốc độ tấn công, Giáp và Hồi máu cho các đơn vị đồng minh gần đó."
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_Note0"                                              "CHỈ cộng dồn với Hào quang sức chịu đựng!"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bat_reduction"                                      "GIẢM BAT:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_movement_speed_percentage"                    "% TỐC ĐỘ CHUYỂN ĐỘNG:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_armor"                                        "GIÁP THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_health_regen"                                 "THƯỞNG PHỤC HỒI SỨC KHỎE:"
		"DOTA_Tooltip_ability_holdout_divine_aura_alt_radius"                                             "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_shockwave"                                                          "Sóng xung kích"
		"DOTA_Tooltip_ability_holdout_shockwave_Description"                                              "Một làn sóng lực lan ra từ anh hùng, gây sát thương cho các đơn vị trong một hàng."
		"DOTA_Tooltip_ability_holdout_shockwave_start_radius"                                             "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_shockwave_range"                                                    "PHẠM VI:"
		"DOTA_Tooltip_ability_holdout_shockwave_speed"                                                    "TỐC ĐỘ:"
		"DOTA_Tooltip_ability_holdout_war_stomp"                                                          "dậm chân chiến tranh"
		"DOTA_Tooltip_ability_holdout_war_stomp_Description"                                              "Đập mạnh xuống đất, làm choáng và gây sát thương cho các đơn vị địch ở gần."
		"DOTA_Tooltip_ability_holdout_war_stomp_radius"                                                   "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_war_stomp_stun_duration"                                            "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_war_stomp_stomp_damage"                                             "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura"                                           "Hào quang sức bền"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_Description"                               "Tăng tốc độ di chuyển và Tốc độ tấn công của các đơn vị đồng minh gần đó."
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_Note0"                                     "CHỈ cộng dồn với hào quang Thần thánh!"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_bat_reduction"                             "THỜI GIAN TẤN CÔNG CƠ BẢN:"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_endurance_bonus_movement_speed"            "% TỐC ĐỘ CHUYỂN ĐỘNG:"
		"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_radius"                                    "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_pulverize"                                                          "Nghiền thành bột"
		"DOTA_Tooltip_ability_holdout_pulverize_Description"                                              "Gây sát thương lên tất cả các đơn vị địch xung quanh trong bán kính mỗi khi Thủ lĩnh Tauren thi triển một kỹ năng chủ động."
		"DOTA_Tooltip_ability_holdout_pulverize_aftershock_range"                                         "PHẠM VI:"
		"DOTA_Tooltip_ability_holdout_pulverize_aftershock_damage"                                        "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_lightning_stroke"                                                   "sét đánh"
		"DOTA_Tooltip_ability_holdout_lightning_stroke_Description"                                       "Gây sát thương lên tất cả các đơn vị địch xung quanh trong bán kính."
		"DOTA_Tooltip_ability_holdout_lightning_stroke_area_of_effect"                                    "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_lightning_stroke_stun_duration"                                     "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_lightning_stroke_projectile_speed"                                  "TỐC ĐỘ:"
		"DOTA_Tooltip_ability_holdout_shockwave_20"                                                       "Sóng xung kích (Cấp 20)"
		"DOTA_Tooltip_ability_holdout_shockwave_20_Description"                                           "Một làn sóng lực lan ra từ anh hùng, gây sát thương cho các đơn vị trong một hàng."
		"DOTA_Tooltip_ability_holdout_shockwave_20_start_radius"                                          "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_shockwave_20_range"                                                 "PHẠM VI:"
		"DOTA_Tooltip_ability_holdout_shockwave_20_speed"                                                 "TỐC ĐỘ:"
		"DOTA_Tooltip_ability_holdout_war_stomp_20"                                                       "Dậm chân chiến tranh (Cấp 20)"
		"DOTA_Tooltip_ability_holdout_war_stomp_20_Description"                                           "Đập mạnh xuống đất, làm choáng và gây sát thương cho các đơn vị địch ở gần."
		"DOTA_Tooltip_ability_holdout_war_stomp_20_radius"                                                "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_war_stomp_20_stun_duration"                                         "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_war_stomp_20_stomp_damage"                                          "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_roar_20"                                                            "Gầm gừ (Cấp 20)"
		"DOTA_Tooltip_ability_holdout_roar_20_Description"                                                "Tăng sát thương của đồng đội bằng %bonus_damage_percentage%% + %bonus_damage%."
		"DOTA_Tooltip_ability_holdout_roar_20_bonus_damage_percentage"                                    "% THIỆT HẠI THƯỞNG PCT:"
		"DOTA_Tooltip_ability_holdout_roar_20_bonus_damage"                                               "SÁT THƯƠNG CỘNG THÊM:"
		"DOTA_Tooltip_ability_holdout_roar_20_bonus_armor"                                                "GIÁP THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_roar_20_duration"                                                   "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_reincarnation"                                                      "tái sinh"
		"DOTA_Tooltip_ability_holdout_reincarnation_Description"                                          "Cho phép anh hùng hồi sinh nếu bị giết."
		"DOTA_Tooltip_ability_holdout_reincarnation_reincarnation_time"                                   "THỜI GIAN:"
		"DOTA_Tooltip_modifier_reincarnation"                                                             "tái sinh"
		"DOTA_Tooltip_modifier_reincarnation_Description"                                                 "Hồi sinh anh hùng nếu bị giết."
		"DOTA_Tooltip_ability_holdout_carrion_swarm"                                                      "Bầy xác thối"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_Description"                                          "Gửi một đàn dơi để gây sát thương cho kẻ thù."
		"DOTA_Tooltip_ability_holdout_carrion_swarm_Lore"                                                 "Dreadlord' nhiều chuyến đi đến nấm mồ tập hợp một đàn người chết tiệt."
		"DOTA_Tooltip_ability_holdout_carrion_swarm_Note0"                                                "Có thể đánh các đơn vị ở khoảng cách xa tới 1110."
		"DOTA_Tooltip_ability_holdout_carrion_swarm_range"                                                "PHẠM VI:"
		"DOTA_Tooltip_ability_holdout_chaos"                                                              "Hỗn loạn"
		"DOTA_Tooltip_ability_holdout_chaos_Description"                                                  "Gọi một thiên thạch từ trên trời xuống, gây sát thương và làm choáng kẻ địch trong một khu vực trong 2 giây."
		"DOTA_Tooltip_ability_holdout_chaos_Lore"                                                         "Sự xuống dốc của cái chết của Tarak."
		"DOTA_Tooltip_ability_holdout_chaos_Note0"                                                        "Gây sát thương chính cho các đơn vị địch dưới thiên thạch cứ sau 0,5 giây và đốt cháy kẻ địch để gây sát thương nhỏ hơn trong 3 giây."
		"DOTA_Tooltip_ability_holdout_chaos_land_time"                                                    "TÁC ĐỘNG TRÌ HOÃN:"
		"DOTA_Tooltip_ability_holdout_chaos_area_of_effect"                                               "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_chaos_travel_distance"                                              "KHOẢNG CÁCH DU LỊCH:"
		"DOTA_Tooltip_ability_holdout_chaos_main_damage"                                                  "THIỆT HẠI BAN ĐẦU:\n"
		"DOTA_Tooltip_ability_holdout_chaos_damage_interval"                                              "TÍCH THIỆT HẠI BAN ĐẦU:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_duration"                                                "THỜI GIAN CHÁY:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_dps"                                                     "THIỆT HẠI ĐỐT MỖI GIÂY:"
		"DOTA_Tooltip_ability_holdout_chaos_total_damage_tooltip"                                         "TỔNG THIỆT HẠI:"
		"DOTA_Tooltip_modifier_storm_bolt_datardriven"                                                    "Choáng váng vì sao băng"
		"DOTA_Tooltip_modifier_invoker_chaos_meteor_datadriven"                                           "Bị đốt cháy bởi sao băng"
		"DOTA_Tooltip_ability_holdout_aura_of_blight"                                                     "Hào quang của sự tàn lụi"
		"DOTA_Tooltip_ability_holdout_aura_of_blight_Description"                                         "Cung cấp cho tất cả các đơn vị đồng minh một phần thưởng để tái tạo điểm nhấn."
		"DOTA_Tooltip_ability_holdout_aura_of_blight_aura_radius"                                         "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_aura_of_blight_bonus_health_regen"                                  "PHỤC HỒI SỨC KHỎE:"
		"DOTA_Tooltip_modifier_aura_of_blight"                                                            "Hào quang của sự tàn lụi"
		"DOTA_Tooltip_modifier_aura_of_blight_Description"                                                "Cấp khả năng phục hồi sức khỏe thụ động."
		"DOTA_Tooltip_ability_holdout_death_coil"                                                         "Cuộn dây tử thần"
		"DOTA_Tooltip_ability_holdout_death_coil_Description"                                             "Ném một cuộn dây tử thần vào một đơn vị kẻ địch mục tiêu, gây sát thương và làm choáng mục tiêu trong 1 giây."
		"DOTA_Tooltip_ability_holdout_death_coil_blast_stun_duration"                                     "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_sleep"                                                              "Ngủ"
		"DOTA_Tooltip_ability_holdout_sleep_Description"                                                  "Làm choáng một đơn vị địch.Mục tiêu thức dậy khi bị tấn công."
		"DOTA_Tooltip_ability_holdout_sleep_nightmare_invuln_time"                                        "THỜI GIAN TUYỆT VỜI:"
		"DOTA_Tooltip_ability_holdout_sleep_duration"                                                     "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_inferno"                                                            "địa ngục"
		"DOTA_Tooltip_ability_holdout_inferno_Description"                                                "Gọi một Hỏa ngục từ trên trời xuống, gây sát thương và làm choáng các đơn vị trên bộ của kẻ địch trong một khu vực trong 2 giây.Hỏa ngục kéo dài 60 giây."
		"DOTA_Tooltip_ability_holdout_inferno_radius"                                                     "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_inferno_infernal_duration"                                          "THỜI GIAN ĐỊA NGỤC:"
		"DOTA_Tooltip_ability_holdout_inferno_stun_hero_duration"                                         "THỜI GIAN CHOÁNH ANH HÙNG:"
		"DOTA_Tooltip_ability_holdout_inferno_stun_creep_duration"                                        "THỜI GIAN LÒNG CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_inferno_inferno_count"                                              "SỐ ĐỊA NGỤC:"
		"DOTA_Tooltip_ability_dread_lord_inferno_immolation"                                              "Thiêu thiêu vĩnh viễn"
		"DOTA_Tooltip_ability_dread_lord_inferno_immolation_Description"                                  "Đốt cháy các đơn vị kẻ địch ở gần với 10 điểm sát thương mỗi giây."
		"DOTA_Tooltip_ability_dread_lord_inferno_immolation_radius"                                       "BÁN KÍNH:"
		"DOTA_Tooltip_ability_dread_lord_inferno_immolation_dps"                                          "DPS:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20"                                                   "Mưa hỗn loạn"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_Description"                                       "Gọi các thiên thạch xuống xung quanh Dread Lord, làm choáng kẻ địch."
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_damage_per_unit"                                   "THIỆT HẠI MỖI THIỆT VỜI:"
