"addon_game_name"													"X Hero Siege"
"DOTA_Tooltip_ability_holdout_arctic_flyout_percent_damage"			"%HEALTH BURN:"	
"DOTA_Tooltip_ability_holdout_arctic_flyout_move_slow"				"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_holdout_arctic_flyout_damage_duration"		"BURN DURATION:"
"DOTA_Tooltip_ability_holdout_arctic_flyout_night_vision_bonus"		"ADDED NIGHT VISION RANGE:"
"DOTA_Tooltip_ability_holdout_arctic_flyout_mana_cost_scepter"		""
"DOTA_Tooltip_ability_holdout_arctic_flyout_Note0"					"Enemy units can only receive the Arctic Burn debuff once per cast."
"DOTA_Tooltip_ability_holdout_arctic_flyout_Note1"					"This ability does not affect Roshan."
"DOTA_Tooltip_ability_holdout_arctic_flyout_Note2"					"Reduces Winter Wyvern's attack point to 0.1."

"DOTA_Tooltip_ability_holdout_arctic_breath"						"Arctic Breath"
"DOTA_Tooltip_ability_holdout_arctic_breath_Description"			"Release a frost dragon, sending out a wave of fire that scorches every enemy in its path."
"DOTA_Tooltip_ability_holdout_arctic_breath_Lore"					"In the scorched barren of Misrule, the master learned to manipulate the fiery breath of the Desert Wyrm as a form of entertainment."
"DOTA_Tooltip_ability_holdout_arctic_breath_Note0"					"Arctic Breath can hit units up to 1225 units away."
"DOTA_Tooltip_ability_holdout_arctic_breath_damage"					"DAMAGE:"
"DOTA_Tooltip_ability_holdout_arctic_breath_distance"				"DISTANCE:"
"DOTA_Tooltip_ability_holdout_arctic_breath_start_width"			"START WIDTH:"
"DOTA_Tooltip_ability_holdout_arctic_breath_end_width"				"END WIDTH:"

"DOTA_Tooltip_ability_holdout_arctic_skin"						"Arctic Skin"
"DOTA_Tooltip_ability_holdout_arctic_skin_Description"			"Gives a chance to freeze attackers. Enemies that attack Desert Wyrm have a chance of being stunned."
"DOTA_Tooltip_ability_holdout_arctic_skin_Lore"					"Twisting into the seams of reality itself, The Arctic Dragon manifest hatred paralyzes those who defy his will."
"DOTA_Tooltip_ability_holdout_arctic_skin_radius"				"RADIUS:"
"DOTA_Tooltip_ability_holdout_arctic_skin_ensnare_duration"		"STUN DURATION:"
"DOTA_Tooltip_ability_holdout_arctic_skin_ensnare_damage"		"STUN DAMAGE:"
"DOTA_Tooltip_ability_holdout_arctic_skin_ensnare_chance"		"%STUN CHANCE:"

"DOTA_Tooltip_ability_holdout_divine_aura_alt"										"Divine Aura"
"DOTA_Tooltip_ability_holdout_divine_aura_alt_Description"							"Increases the movement speed, Attack Rate, Armor and Life Regen of nearby friendly units."
"DOTA_Tooltip_ability_holdout_divine_aura_alt_Note0"								"Stacks with Endurance Aura ONLY!"
"DOTA_Tooltip_ability_holdout_divine_aura_alt_bat_reduction"						"BAT REDUCTION:"
"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_movement_speed_percentage"		"%MOVEMENT SPEED:"
"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_armor"							"BONUS ARMOR:"
"DOTA_Tooltip_ability_holdout_divine_aura_alt_bonus_health_regen"					"BONUS HEALTH REGEN:"
"DOTA_Tooltip_ability_holdout_divine_aura_alt_radius"								"RADIUS:"


//TAUREN CHIEFTAIN
"DOTA_Tooltip_ability_holdout_shockwave"								"Shockwave"
"DOTA_Tooltip_ability_holdout_shockwave_Description"					"A Wave of force that ripples out from the hero, causing damage to units in a line."
"DOTA_Tooltip_ability_holdout_shockwave_start_radius"					"RADIUS:"
"DOTA_Tooltip_ability_holdout_shockwave_range"							"RANGE:"
"DOTA_Tooltip_ability_holdout_shockwave_speed"							"SPEED:"

"DOTA_Tooltip_ability_holdout_war_stomp"								"War Stomp"
"DOTA_Tooltip_ability_holdout_war_stomp_Description"					"Slams the ground, stunning and damaging nearby enemy units."
"DOTA_Tooltip_ability_holdout_war_stomp_radius"							"RADIUS:"
"DOTA_Tooltip_ability_holdout_war_stomp_stun_duration"					"STUN DURATION:"
"DOTA_Tooltip_ability_holdout_war_stomp_stomp_damage"					"DAMAGE:"

"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura"										"Endurance Aura"
"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_Description"							"Increases the movement speed and Attack Rate of nearby friendly units."
"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_Note0"								"Stacks with Divine aura ONLY!"
"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_bat_reduction"						"BASE ATTACK TIME:"
"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_endurance_bonus_movement_speed"		"%MOVEMENT SPEED:"
"DOTA_Tooltip_ability_holdout_chieftain_endurance_aura_radius"								"RADIUS:"

"DOTA_Tooltip_ability_holdout_pulverize"									"Pulverize"
"DOTA_Tooltip_ability_holdout_pulverize_Description"						"Damage all nearby enemy units in a radius every time an active ability is cast by the Tauren Chieftain."
"DOTA_Tooltip_ability_holdout_pulverize_aftershock_range"					"RANGE:"
"DOTA_Tooltip_ability_holdout_pulverize_aftershock_damage"					"DAMAGE:"

"DOTA_Tooltip_ability_holdout_lightning_stroke"								"Lightning Stroke"
"DOTA_Tooltip_ability_holdout_lightning_stroke_Description"					"Damage all nearby enemy units in a radius."
"DOTA_Tooltip_ability_holdout_lightning_stroke_area_of_effect"				"RADIUS:"
"DOTA_Tooltip_ability_holdout_lightning_stroke_stun_duration"				"DURATION:"
"DOTA_Tooltip_ability_holdout_lightning_stroke_projectile_speed"			"SPEED:"

"DOTA_Tooltip_ability_holdout_shockwave_20"									"Shockwave (Level 20)"
"DOTA_Tooltip_ability_holdout_shockwave_20_Description"						"A Wave of force that ripples out from the hero, causing damage to units in a line."
"DOTA_Tooltip_ability_holdout_shockwave_20_start_radius"					"RADIUS:"
"DOTA_Tooltip_ability_holdout_shockwave_20_range"							"RANGE:"
"DOTA_Tooltip_ability_holdout_shockwave_20_speed"							"SPEED:"

"DOTA_Tooltip_ability_holdout_war_stomp_20"									"War Stomp (Level 20)"
"DOTA_Tooltip_ability_holdout_war_stomp_20_Description"						"Slams the ground, stunning and damaging nearby enemy units."
"DOTA_Tooltip_ability_holdout_war_stomp_20_radius"							"RADIUS:"
"DOTA_Tooltip_ability_holdout_war_stomp_20_stun_duration"					"STUN DURATION:"
"DOTA_Tooltip_ability_holdout_war_stomp_20_stomp_damage"					"DAMAGE:"

"DOTA_Tooltip_ability_holdout_roar_20"										"Roar (Level 20)"
"DOTA_Tooltip_ability_holdout_roar_20_Description"							"Increase allies damage by %bonus_damage_percentage%% + %bonus_damage%."
"DOTA_Tooltip_ability_holdout_roar_20_bonus_damage_percentage"				"%BONUS DAMAGE PCT:"
"DOTA_Tooltip_ability_holdout_roar_20_bonus_damage"							"BONUS DAMAGE:"
"DOTA_Tooltip_ability_holdout_roar_20_bonus_armor"							"BONUS ARMOR:"
"DOTA_Tooltip_ability_holdout_roar_20_duration"								"DURATION:"

"DOTA_Tooltip_ability_holdout_reincarnation"							"Reincarnation"
"DOTA_Tooltip_ability_holdout_reincarnation_Description"				"Allows the hero to revive if killed."
"DOTA_Tooltip_ability_holdout_reincarnation_reincarnation_time"			"DURATION:"

"DOTA_Tooltip_modifier_reincarnation"					"Reincarnation"
"DOTA_Tooltip_modifier_reincarnation_Description"		"Revives the hero if killed."


//DREADLORD
"DOTA_Tooltip_ability_holdout_carrion_swarm"						"Carrion Swarm"
"DOTA_Tooltip_ability_holdout_carrion_swarm_Description"			"Sends a horde of bats to damage enemies."
"DOTA_Tooltip_ability_holdout_carrion_swarm_Lore"					"Dreadlord' many trips to the grave gather a flock of the damned."
"DOTA_Tooltip_ability_holdout_carrion_swarm_Note0"					"Can hit units up to 1110 range away."
"DOTA_Tooltip_ability_holdout_carrion_swarm_range"					"RANGE:"

"DOTA_Tooltip_ability_holdout_chaos"								"Chaos"
"DOTA_Tooltip_ability_holdout_chaos_Description"					"Calls down a meteor from the sky, dealing damage and stunning enemy units for 2 seconds in an area."
"DOTA_Tooltip_ability_holdout_chaos_Lore"							"Tarak's Descent of Death."
"DOTA_Tooltip_ability_holdout_chaos_Note0"							"Deals main damage to enemy units under meteor every 0.5 seconds and burns enemies for smaller damage over 3 seconds."
//		"DOTA_Tooltip_ability_holdout_chaos_Note1"							""
"DOTA_Tooltip_ability_holdout_chaos_land_time"						"IMPACT DELAY:"
"DOTA_Tooltip_ability_holdout_chaos_area_of_effect"					"RADIUS:"
"DOTA_Tooltip_ability_holdout_chaos_travel_distance"				"TRAVEL DISTANCE:"
"DOTA_Tooltip_ability_holdout_chaos_main_damage"					"INITIAL DAMAGE:\n"
"DOTA_Tooltip_ability_holdout_chaos_damage_interval"				"INITIAL DAMAGE TICK:"
"DOTA_Tooltip_ability_holdout_chaos_burn_duration"					"BURN DURATION:"
"DOTA_Tooltip_ability_holdout_chaos_burn_dps"						"BURN DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_holdout_chaos_total_damage_tooltip"			"TOTAL DAMAGE:"
"DOTA_Tooltip_modifier_storm_bolt_datardriven"						"Stunned by Meteor"
"DOTA_Tooltip_modifier_invoker_chaos_meteor_datadriven"				"Burned by Meteor"

"DOTA_Tooltip_ability_holdout_aura_of_blight"							"Aura of Blight"
"DOTA_Tooltip_ability_holdout_aura_of_blight_Description"				"Gives all friendly units a bonus to hitpoints regeneration."
"DOTA_Tooltip_ability_holdout_aura_of_blight_aura_radius"				"RADIUS:"
"DOTA_Tooltip_ability_holdout_aura_of_blight_bonus_health_regen"		"HEALTH REGEN:"

"DOTA_Tooltip_modifier_aura_of_blight"									"Aura of Blight"
"DOTA_Tooltip_modifier_aura_of_blight_Description"						"Grants passive health regeneration."

"DOTA_Tooltip_ability_holdout_death_coil"								"Death Coil"
"DOTA_Tooltip_ability_holdout_death_coil_Description"					"Hurls a coil of death at a target enemy unit, dealing damage and stunning the target for 1 second."
"DOTA_Tooltip_ability_holdout_death_coil_blast_stun_duration"			"STUN DURATION:"

"DOTA_Tooltip_ability_holdout_sleep"								"Sleep"
"DOTA_Tooltip_ability_holdout_sleep_Description"					"Stuns an enemy unit. Target wake up when attacked."
"DOTA_Tooltip_ability_holdout_sleep_nightmare_invuln_time"			"INVULNERABILITY TIME:"
"DOTA_Tooltip_ability_holdout_sleep_duration"						"DURATION:"

"DOTA_Tooltip_ability_holdout_inferno"                                         "Inferno"
"DOTA_Tooltip_ability_holdout_inferno_Description"                             "Calls an Infernal down from the sky, dealing damage and stunning enemy land units for 2 seconds in an area. the Infernal lasts 60 seconds."
"DOTA_Tooltip_ability_holdout_inferno_radius"                                  "RADIUS:"
"DOTA_Tooltip_ability_holdout_inferno_infernal_duration"                       "INFERNAL DURATION:"
"DOTA_Tooltip_ability_holdout_inferno_stun_hero_duration"                      "STUN HERO DURATION:"
"DOTA_Tooltip_ability_holdout_inferno_stun_creep_duration"                     "STUN CREEP DURATION:"
"DOTA_Tooltip_ability_holdout_inferno_inferno_count"							"NUMBER OF INFERNO:"

"DOTA_Tooltip_ability_dread_lord_inferno_immolation"                              "Permanent Immolation"
"DOTA_Tooltip_ability_dread_lord_inferno_immolation_Description"                  "Burns nearby enemy units for 10 points of damage per second."
"DOTA_Tooltip_ability_dread_lord_inferno_immolation_radius"                       "RADIUS:"
"DOTA_Tooltip_ability_dread_lord_inferno_immolation_dps"                          "DPS:"

"DOTA_Tooltip_ability_holdout_rain_of_chaos_20"							"Rain Of Chaos"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_Description"				"Calls down meteors around Dread Lord, stunning enemy units."
"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_damage_per_unit"			"DAMAGE PER METEOR:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_radius"					"RADIUS:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_stun_duration"			"STUN DURATION:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_time_between_meteors"	"TIME BETWEEN METEORS:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_meteors_per_tick"		"METEORS PER TICK:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_radius_explosion"		"METEOR RADIUS:"


//DRYAD ( Tyrande )
"DOTA_Tooltip_ability_holdout_evasion"							"Evasion"
"DOTA_Tooltip_ability_holdout_evasion_Description"				"Dryad focuses inward, increasing her ability to evade enemy attacks.\n\nStacks diminishingly with other sources of Evasion."
"DOTA_Tooltip_ability_holdout_evasion_SummaryDescription"		"Grants a chance to evade incoming attacks."
"DOTA_Tooltip_ability_holdout_evasion_Lore"						"A Veiled Sister's meditation lets her anticipate danger before it strikes."
"DOTA_Tooltip_ability_holdout_evasion_bonus_evasion"			"%EVASION:"

"DOTA_Tooltip_ability_tyrande_multiple_arrows"							"Split Shot"
"DOTA_Tooltip_ability_tyrande_multiple_arrows_Description"				"Splits each attack toward additional nearby enemies. Secondary arrows deal reduced attack damage and apply Poison Attack, but do not trigger other attack effects."
"DOTA_Tooltip_ability_tyrande_multiple_arrows_SummaryDescription"		"Attacks additional enemies with reduced-damage arrows."
"DOTA_Tooltip_ability_tyrande_multiple_arrows_Lore"						"One enchanted arrow becomes a deadly volley in Dryad's hands."
"DOTA_Tooltip_ability_tyrande_multiple_arrows_Note0"					"Secondary arrows prioritize the closest enemies and exclude the primary target."
"DOTA_Tooltip_ability_tyrande_multiple_arrows_Note1"					"Dryad's illusions also inherit Split Shot."
"DOTA_Tooltip_ability_tyrande_multiple_arrows_damage_modifier_tooltip"	"%OUTGOING DAMAGE:"
"DOTA_Tooltip_ability_tyrande_multiple_arrows_arrow_count"				"EXTRA TARGETS:"

"DOTA_Tooltip_ability_holdout_poison_attack"							"Poison Attack"
"DOTA_Tooltip_ability_holdout_poison_attack_Description"				"Dryad's attacks poison enemies, dealing magical damage over time. Split Shot's secondary arrows also apply the poison."
"DOTA_Tooltip_ability_holdout_poison_attack_SummaryDescription"		"Attacks poison enemies with magical damage over time."
"DOTA_Tooltip_ability_holdout_poison_attack_duration"					"DURATION:"
"DOTA_Tooltip_ability_holdout_poison_attack_damage"						"DAMAGE PER SECOND:"

"DOTA_Tooltip_modifier_poison_attack_debuff"					"Poison Attack"
"DOTA_Tooltip_modifier_poison_attack_debuff_Description"		"Taking magical damage over time."

"DOTA_Tooltip_ability_holdout_critical_arrows"					"Critical Arrows"
"DOTA_Tooltip_ability_holdout_critical_arrows_Description"		"Dryad's primary attacks have a chance to deal critical damage."
"DOTA_Tooltip_ability_holdout_critical_arrows_SummaryDescription"	"Primary attacks can deal critical damage."
"DOTA_Tooltip_ability_holdout_critical_arrows_crit_bonus"		"%CRITICAL DAMAGE:"
"DOTA_Tooltip_ability_holdout_critical_arrows_crit_chance"		"%CRITICAL CHANCE:"

"DOTA_Tooltip_ability_holdout_endurance_aura"										"Endurance Aura"
"DOTA_Tooltip_ability_holdout_endurance_aura_Description"							"Increases the movement speed and reduces the base attack time of nearby allied heroes."
"DOTA_Tooltip_ability_holdout_endurance_aura_SummaryDescription"					"Nearby allied heroes move and attack faster."
"DOTA_Tooltip_ability_holdout_endurance_aura_Note0"									"Stacks with Divine Aura."
"DOTA_Tooltip_ability_holdout_endurance_aura_bat_reduction"							"BAT REDUCTION:"
"DOTA_Tooltip_ability_holdout_endurance_aura_radius"								"RADIUS:"


"DOTA_Tooltip_ability_xhs_trueshot_aura"								"Trueshot Aura"
"DOTA_Tooltip_ability_xhs_trueshot_aura_Description"					"Grants allied ranged heroes bonus attack damage based on Dryad's agility."
"DOTA_Tooltip_ability_xhs_trueshot_aura_SummaryDescription"			"Dryad's agility increases allied ranged heroes' attack damage."
"DOTA_Tooltip_ability_xhs_trueshot_aura_Lore"							"Dryad's woodland training sharpens the aim of every archer beside her."
"DOTA_Tooltip_ability_xhs_trueshot_aura_trueshot_ranged_damage"			"%DRYAD AGILITY AS DAMAGE:"

"DOTA_Tooltip_ability_xhs_trueshot_aura_alt"								"Trueshot Aura"
"DOTA_Tooltip_ability_xhs_trueshot_aura_alt_Description"					"Adds bonus damage to the physical attack of allied, ranged hero units on the map based on a percentage of Tyrande's agility."
"DOTA_Tooltip_ability_xhs_trueshot_aura_alt_Lore"							"Tyrande time spent alone in the forests of her Light home has allowed her to teach other archers how to improve their Arrow skills."
"DOTA_Tooltip_ability_xhs_trueshot_aura_alt_trueshot_ranged_damage"			"%RANGE DAMAGE BONUS:"


//HUNTRESS
"DOTA_Tooltip_ability_holdout_owl_lightning"							"Owl Lightning"
"DOTA_Tooltip_ability_holdout_owl_lightning_Description"				"Damage enemies jump by jump with a delay."
"DOTA_Tooltip_ability_holdout_owl_lightning_jump_count"					"TARGETS:"
"DOTA_Tooltip_ability_holdout_owl_lightning_radius"						"RADIUS:"
"DOTA_Tooltip_ability_holdout_owl_lightning_jump_delay"					"JUMP DELAY:"

"DOTA_Tooltip_ability_holdout_forked_lightning"							"Forked Lightning"
"DOTA_Tooltip_ability_holdout_forked_lightning_Description"				"Damage a few number of enemies at the same time around the target."
"DOTA_Tooltip_ability_holdout_forked_lightning_end_radius"				"RADIUS:"
"DOTA_Tooltip_ability_holdout_forked_lightning_targets"					"TARGETS:"
"DOTA_Tooltip_ability_holdout_forked_lightning_damage"					"DAMAGE:"

"DOTA_Tooltip_ability_holdout_command_aura"								"Command Aura"
"DOTA_Tooltip_ability_holdout_command_aura_Description"					"Increase damage percentage of nearby allies."
"DOTA_Tooltip_ability_holdout_command_aura_bonus_damage_percentage"		"%BONUS DAMAGE:"
"DOTA_Tooltip_ability_holdout_command_aura_radius"						"RADIUS:"


"DOTA_Tooltip_ability_holdout_elunes_grace"								"Elune's Grace"
"DOTA_Tooltip_ability_holdout_elunes_grace_Description"					"Reduce the amount of damage received from all sources (excluding pure damage), increase move speed and attack speed."
"DOTA_Tooltip_ability_holdout_elunes_grace_Lore"						""
"DOTA_Tooltip_ability_holdout_elunes_grace_damage_reduction"			"%DAMAGE REDUCTION:"
"DOTA_Tooltip_ability_holdout_elunes_grace_movement_speed_percentage"	"%MOVEMENT SPEED:"
"DOTA_Tooltip_ability_holdout_elunes_grace_bat_reduction"				"BAT REDUCTION:"


"DOTA_Tooltip_ability_holdout_innate_lunar_glaive"								"Lunar Glaive"
"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_Description"					"Huntress attacks bounces on multiple enemies."
"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_Lore"							""
"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_range"						"RANGE:"
"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_bounces"						"BOUNCES:"
"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_damage_reduction_percent"		"%DAMAGE REDUCTION:"

"DOTA_Tooltip_ability_holdout_moon_explosion"							"Moon Explosion"
"DOTA_Tooltip_ability_holdout_moon_explosion_Description"				"Calls down Moon blasts, dealing massive damage to nearby enemies." 
"DOTA_Tooltip_ability_holdout_moon_explosion_Lore"						""
"DOTA_Tooltip_ability_holdout_moon_explosion_radius"					"RADIUS:"
"DOTA_Tooltip_ability_holdout_moon_explosion_beam_interval"				"BEAM INTERVAL:"
"DOTA_Tooltip_ability_holdout_moon_explosion_beams"						"NUMBER OF BEAMS:"
"DOTA_Tooltip_ability_holdout_moon_explosion_duration_tooltip"			"DURATION:"
"DOTA_Tooltip_ability_holdout_moon_explosion_damage"					"DAMAGE:"

"DOTA_Tooltip_ability_holdout_neutralization"								"Neutralization"
"DOTA_Tooltip_ability_holdout_neutralization_Description"					"Silence the enemy unit, reducing damage dealt by 50% and dealing damage over time."
"DOTA_Tooltip_ability_holdout_neutralization_damage_percent"				"%DAMAGE REDUCED:"
"DOTA_Tooltip_ability_holdout_neutralization_duration"						"DURATION:"

"DOTA_Tooltip_modifier_neutralization"					"Neutralization"
"DOTA_Tooltip_modifier_neutralization_Description"		"Silenced and taking damage over time."

//LICH
"DOTA_Tooltip_ability_holdout_frost_nova"									"Frost Blast"
"DOTA_Tooltip_ability_holdout_frost_nova_Description"						"Blasts the target enemy unit with damaging frost, dealing area damage and slowing movement and attack rates for 4 seconds.  The primary target takes the most damage."
"DOTA_Tooltip_ability_holdout_frost_nova_Lore"								"Frost-mage Ethreain has not forgotten even the simplest of ice manipulation."
"DOTA_Tooltip_ability_holdout_frost_nova_aoe_damage"						"AREA DAMAGE:"
"DOTA_Tooltip_ability_holdout_frost_nova_radius"							"RADIUS:"
"DOTA_Tooltip_ability_holdout_frost_nova_slow_movement_speed"				"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_holdout_frost_nova_slow_attack_speed"					"ATTACK SLOW:"

"DOTA_Tooltip_ability_holdout_frost_breath"							"Frost Breath"
"DOTA_Tooltip_ability_holdout_frost_breath_Description"				"Breathes a cone of frost at enemy units that deals initial damage, damage per second over 3 seconds, knockbacks units and slows them."
"DOTA_Tooltip_ability_holdout_frost_breath_Lore"					"The Breath of the Lich King."		
"DOTA_Tooltip_ability_holdout_frost_breath_breath_slow"				"%BREATH SLOW:"
"DOTA_Tooltip_ability_holdout_frost_breath_initial_damage"			"INITIAL DAMAGE:"
"DOTA_Tooltip_ability_holdout_frost_breath_damage_per_second"		"DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_holdout_frost_breath_wave_range_tooltip"		"RANGE:"
"DOTA_Tooltip_ability_holdout_frost_breath_wave_width"				"WIDTH:"
"DOTA_Tooltip_ability_holdout_frost_breath_knockback_duration"		"KNOCKBACK DURATION:"
"DOTA_Tooltip_ability_holdout_frost_breath_total_damage_tooltip"	"TOTAL DAMAGE:"

"DOTA_Tooltip_ability_holdout_frost_armor"									"Frost Shield"
"DOTA_Tooltip_ability_holdout_frost_armor_Description"						"Creates a shield around a friendly unit or building, increasing its armor and slowing enemies that attack it."
"DOTA_Tooltip_ability_holdout_frost_armor_Lore"								"Originally crafted during his ambush for self-defense, the Lich is capable of enchanting others with a formidable defense of frost magic."
"DOTA_Tooltip_ability_holdout_frost_armor_Note0"							"When autocast is enabled, Frost Shield is cast on nearby allies when they are attacked."
"DOTA_Tooltip_ability_holdout_frost_armor_armor_bonus"						"ALLY ARMOR BONUS:"
"DOTA_Tooltip_ability_holdout_frost_armor_building_armor_bonus_tooltip"		"BUILDING ARMOR BONUS:"
"DOTA_Tooltip_ability_holdout_frost_armor_slow_movement_speed"				"%ENEMY MOVE SLOW:"
"DOTA_Tooltip_ability_holdout_frost_armor_slow_attack_speed"				"ENEMY ATTACK SLOW:"
"DOTA_Tooltip_ability_holdout_frost_armor_slow_duration"					"SLOW DURATION:"
"DOTA_Tooltip_ability_holdout_frost_armor_duration"						"DURATION:"
"DOTA_Tooltip_modifier_lich_frost_armor"									"Frost Shield"
"DOTA_Tooltip_modifier_lich_frost_armor_Description"						"Armor is increased. Enemies that attack this unit are slowed."
"DOTA_Tooltip_modifier_lich_frost_armor_slow"								"Frost Shield Slow"
"DOTA_Tooltip_modifier_lich_frost_armor_slow_Description"					"Movement speed and attack speed are reduced by Frost Shield."

// Native Frost Armor is used directly by Frost Infernal.
"DOTA_Tooltip_ability_lich_frost_armor"									"Frost Shield"
"DOTA_Tooltip_ability_lich_frost_armor_Description"						"Grants armor to a friendly unit or building. Enemies that attack the shielded target are slowed."
"DOTA_Tooltip_ability_lich_frost_armor_armor_bonus"						"ARMOR BONUS:"
"DOTA_Tooltip_ability_lich_frost_armor_slow_movement_speed"				"%ENEMY MOVE SLOW:"
"DOTA_Tooltip_ability_lich_frost_armor_slow_attack_speed"					"ENEMY ATTACK SLOW:"
"DOTA_Tooltip_ability_lich_frost_armor_slow_duration"						"SLOW DURATION:"

"DOTA_Tooltip_ability_holdout_frost_arrows"											"Frost Arrows"
"DOTA_Tooltip_ability_holdout_frost_arrows_Description"								"Adds a freezing effect to Lich's attacks, slowing enemy movement. Lasts %frost_arrows_duration% seconds."
"DOTA_Tooltip_ability_holdout_frost_arrows_Lore"									"Ice-encased arrows pierce the silence, chilling their victims to the core."
"DOTA_Tooltip_ability_holdout_frost_arrows_Note0"									"The slow duration is refreshed on successive casts."
"DOTA_Tooltip_ability_holdout_frost_arrows_bonus_damage"							"BONUS DAMAGE:"
"DOTA_Tooltip_ability_holdout_frost_arrows_frost_arrows_movement_speed"				"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_holdout_frost_arrows_frost_arrows_duration"					"DURATION:"

"DOTA_Tooltip_ability_holdout_frost_frenzy"								"Frost Frenzy"
"DOTA_Tooltip_ability_holdout_frost_frenzy_Description"					"Increase the attack speed of the target, but drains 10HP per second."
"DOTA_Tooltip_ability_holdout_frost_frenzy_damage_tooltip"				"DAMAGE:"
"DOTA_Tooltip_ability_holdout_frost_frenzy_duration"					"DURATION:"
"DOTA_Tooltip_ability_holdout_frost_frenzy_extra_incoming_damage"		"%EXTRA DAMAGE TAKEN:"
"DOTA_Tooltip_ability_holdout_frost_frenzy_bonus_attack_speed"			"BONUS ATTACK SPEED:"

"DOTA_Tooltip_modifier_frost_frenzy"				"Frost Frenzy"
"DOTA_Tooltip_modifier_frost_frenzy_Decription"		"Sends Lich into a rage, increasing attack speed."

"DOTA_Tooltip_ability_holdout_frost_beast"								"Summon Frost Beast"
"DOTA_Tooltip_ability_holdout_frost_beast_Description"					"Calls a Frost Beast down from the sky, dealing damage and stunning enemy land units for 2 seconds in an area. the Frost Beast lasts 60 seconds."
"DOTA_Tooltip_ability_holdout_frost_beast_radius"						"RADIUS:"
"DOTA_Tooltip_ability_holdout_frost_beast_infernal_duration"			"FROST BEAST DURATION:"
"DOTA_Tooltip_ability_holdout_frost_beast_stun_hero_duration"			"STUN HERO DURATION:"
"DOTA_Tooltip_ability_holdout_frost_beast_stun_creep_duration"			"STUN CREEP DURATION:"
"DOTA_Tooltip_ability_holdout_frost_beast_inferno_count"				"NUMBER OF FROST BEAST:"

"DOTA_Tooltip_ability_lich_frost_beast_cold_skin"						"Cold Skin"
"DOTA_Tooltip_ability_lich_frost_beast_cold_skin_Description"			"Reduced heartbeat speed of nearby enemy units, dealing 100 damage per second."
"DOTA_Tooltip_ability_lich_frost_beast_cold_skin_radius"				"RADIUS:"
"DOTA_Tooltip_ability_lich_frost_beast_cold_skin_dps"					"DAMAGE PER SECOND:"

"DOTA_Tooltip_ability_holdout_frost_chaos"								"Frost Chaos"
"DOTA_Tooltip_ability_holdout_frost_chaos_Description"					"Deal 0.7% of the target's max hp into pure damage."
"DOTA_Tooltip_ability_holdout_frost_chaos_radius"						"RADIUS:"
"DOTA_Tooltip_ability_holdout_frost_chaos_damage_percent"				"%DAMAGE:"
"DOTA_Tooltip_ability_holdout_frost_chaos_duration"						"DURATION:"

//MALFURION
"DOTA_Tooltip_ability_holdout_hardened_skin"							"Hardened Skin"
"DOTA_Tooltip_ability_holdout_hardened_skin_Description"				"Reduce the amount of damage received from all sources (excluding pure damage)."
"DOTA_Tooltip_ability_holdout_hardened_skin_damage_reduction"			"%DAMAGE REDUCTION:"
"DOTA_Tooltip_ability_holdout_hardened_skin_bonus_armor"				"BONUS ARMOR:"


//STONE GIANT
"DOTA_Tooltip_ability_holdout_craggy_exterior"					"Craggy Exterior"
"DOTA_Tooltip_ability_holdout_craggy_exterior_Description"		"Passively gains armor. Enemies that attack the Stone Giant have a chance to take damage and be stunned."
"DOTA_Tooltip_ability_holdout_craggy_exterior_bonus_armor"		"BONUS ARMOR:"
"DOTA_Tooltip_ability_holdout_craggy_exterior_stun_chance"		"%STUN CHANCE:"
"DOTA_Tooltip_ability_holdout_craggy_exterior_stun_duration"	"STUN DURATION:"
"DOTA_Tooltip_ability_holdout_craggy_exterior_damage"			"DAMAGE:"

"DOTA_Tooltip_ability_holdout_war_club"								"War Club"
